stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,685.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,551.67,0,6.13,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.51,0,2.63,0,0,0,21.03,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,155.09,2.63,0,0,78.86,0,2.63,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.32,3.15,0,0,56.65,0,0,3.15,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,1,11,1,0,5,0,0,1,1,1,0,0,1,0,0,1,2,8,0,0,1,104,1,0,0,2,0,2,3,6,2,3,34,0,0,2,0,5
 24-34,0,0,0,0,4.93,0.82,0,33.66,1.64,0.82,7.39,2.46,0,4.93,2.46,0.82,0.82,0,0.82,14.78,13.95,0,0,5.75,362.82,0,7.39,4.1,0.82,0,5.75,0,0,0.82,3.28,70.59,0,0,4.93,0,9.03
 36-46,0,0,0,0,1.61,0.81,0,37.06,0,0.81,12.09,0,0,0,3.22,0.81,1.61,0,0.81,8.06,22.56,0,0.81,2.42,349.66,0,10.47,0.81,0,0,2.42,0,0.81,0.81,0,73.32,0,0,4.83,0,5.64
 48-58,0,0,0,0,5.74,0,0,88.94,0.57,3.44,12.05,1.15,0,1.72,1.15,1.15,1.72,0.57,0,3.44,49.35,0,1.72,3.44,360.92,0.57,3.44,1.15,0,0,3.44,0,0,0,0,76.89,0,0,2.87,0,8.61
 60-70,0,0,0,0,1.96,0.98,0,168.82,0.98,2.94,20.61,2.94,0,0,7.85,0,1.96,0,0,3.93,52.02,0,3.93,4.91,367.09,0,1.96,2.94,0,0,8.83,0,0,0.98,0,30.43,0.98,1.96,4.91,0,2.94
 72-82,0,0,0.98,0,8.83,9.82,0.98,160.99,1.96,3.93,44.17,5.89,0,0,3.93,1.96,0,2.94,1.96,0.98,97.18,0,1.96,8.83,284.68,0.98,2.94,6.87,0,0.98,15.71,0,0,3.93,0,25.52,0.98,2.94,12.76,0.98,3.93
 84-94,0,0,0,0,11.68,12.74,0,89.21,4.25,4.25,26.55,2.12,1.06,0,7.43,4.25,3.19,0,3.19,5.31,48.85,2.12,3.19,4.25,130.63,1.06,4.25,13.81,0,1.06,31.86,0,0,3.19,0,6.37,0,0,5.31,1.06,3.19
 96-106,0,0,0,0,17.49,16.39,0,54.64,2.19,2.19,19.67,0,0,0,9.84,3.28,1.09,5.46,0,4.37,55.74,6.56,4.37,4.37,113.66,0,9.84,7.65,0,2.19,52.46,0,0,0,0,5.46,0,2.19,5.46,1.09,4.37
108-118,0,0,2.3,0.77,19.92,7.66,1.53,54.38,3.83,2.3,13.02,2.3,0,0,9.96,3.83,3.06,3.83,1.53,4.6,45.96,2.3,0.77,5.36,108.77,0,11.49,3.83,0,2.3,28.34,0,0,1.53,0,1.53,3.06,1.53,0.77,3.06,2.3
120,0,0,0,0,23.52,9.8,1.96,19.6,5.88,1.96,7.84,1.96,0,0,31.36,7.84,1.96,5.88,1.96,3.92,45.08,0,1.96,1.96,127.39,0,3.92,5.88,0,0,37.24,0,0,1.96,0,3.92,3.92,1.96,1.96,0,1.96
