stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,10.51,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,65.72,7.89,0,34.17,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,15.73,0,3.15,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.03,6.29,0,75.53,0,0,3.15,0,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,3,1,23,3,3,0,0,0,1,2,0,0,0,2,0,0,0,11,0,0,3,30,0,2,5,0,1,0,7,15,1,0,29,0,0,1,0,0
 24-34,0,0,0.82,0,24.63,0.82,4.93,0,3.28,0.82,0.82,0,0,4.1,0.82,1.64,0,0,0,23.8,0.82,0,3.28,50.07,2.46,3.28,0,0,0.82,0,0,0.82,0,0.82,21.34,0,0,5.75,0,0.82
 36-46,0,0,0.81,0,19.34,0.81,3.22,0,4.83,0,13.7,0,0,7.25,0,0,0,0,0,32.23,0,1.61,2.42,52.37,0.81,6.45,0,0,0,0,0,0,0,0,17.72,0,0,11.28,0,0.81
 48-58,0,0,0,0,14.35,4.02,6.31,0,5.16,0.57,17.79,0,0.57,6.89,0,1.15,0,4.02,0,27.54,0,1.72,1.15,26.4,0,6.31,0,0.57,0,0,0,0,0,0,21.23,0,0.57,10.9,0,0
 60-70,0,0,0,0,13.74,6.87,8.83,0,9.82,1.96,23.56,0.98,0,4.91,1.96,0.98,0,2.94,0,102.08,0,4.91,3.93,16.69,0,9.82,0,0.98,0,0,0,0.98,0,0,6.87,0,3.93,4.91,0,0
 72-82,0,0,0,0,14.72,55.95,14.72,0.98,7.85,0.98,14.72,0,0,7.85,2.94,1.96,0,3.93,0,116.82,0.98,4.91,2.94,17.67,0,14.72,0,0,0.98,0,0,0,0,0,2.94,0,1.96,19.63,2.94,0.98
 84-94,0,0,0,1.06,27.61,56.29,8.5,0,7.43,1.06,7.43,0,0,5.31,5.31,2.12,0,5.31,1.06,83.9,1.06,7.43,2.12,8.5,0,13.81,0,0,0,0,0,1.06,0,0,2.12,1.06,0,11.68,3.19,0
 96-106,0,0,0,0,16.39,55.74,17.49,0,10.93,1.09,10.93,1.09,0,5.46,6.56,3.28,1.09,2.19,0,110.38,0,7.65,7.65,18.58,0,25.14,0,2.19,3.28,0,0,2.19,0,0,3.28,1.09,1.09,14.21,3.28,1.09
108-118,0,0,0,0,22.98,25.28,10.72,0.77,8.43,1.53,6.13,1.53,0,2.3,3.83,6.89,0,2.3,0.77,115.66,0,4.6,5.36,17.62,0.77,26.81,0,0.77,3.83,0,0,1.53,0,0,0.77,0,2.3,19.92,3.06,0
120,0,0,0,0,17.64,45.08,9.8,0,7.84,1.96,9.8,0,0,3.92,13.72,5.88,0,0,0,119.55,0,3.92,3.92,7.84,0,21.56,0,1.96,3.92,0,0,0,0,0,0,0,3.92,15.68,3.92,0
