stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,pericytes,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0.82,0,0,4.93,0,0,0,0.82,0,0.82,0
 36-46,0,0,0,0.81,4.83,0,0,0,0,8.86,4.83,0,0,4.83,0,0,0,0.81,0,0.81,0
 48-58,0,0,0.57,2.87,8.61,0,0.57,0.57,0,3.44,5.74,0,0,1.15,0,0,0,0.57,0,1.15,0
 60-70,0,0,1.96,4.91,13.74,0,0,0,0,2.94,32.39,0,0,2.94,0,2.94,0,0,0,0,0
 72-82,0,0,2.94,4.91,6.87,0,0,2.94,0,0,53.01,1.96,0,2.94,0,0,0,0.98,0.98,3.93,0
 84-94,1.06,0,7.43,9.56,5.31,0,0,1.06,0,1.06,35.05,0,0,1.06,1.06,0,0,0,0,3.19,0
 96-106,0,0,5.46,3.28,4.37,1.09,0,4.37,0,0,45.9,3.28,2.19,2.19,0,0,0,1.09,1.09,1.09,0
108-118,0,0,3.06,2.3,3.06,0,0,4.6,0.77,0,32.17,0.77,1.53,3.83,0,0.77,0,0,0.77,1.53,0.77
120,0,0,1.96,1.96,3.92,0,0,1.96,0,0,25.48,15.68,1.96,3.92,0,0,0,0,0,1.96,0
