stage,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,immune,lateral_line,liver,mesenchyme,muscle,neural,olfactory,periderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 24-34,0.82,0,0,0,0,0,0,0,0.82,0,2.46,0,0,1.64,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,0,0,1.15,0,0,0,0
 60-70,2.94,0,0,0,0,0,0,0,0,0.98,2.94,0,0,0,0
 72-82,0.98,0,0,0,0,0,0,0,3.93,0,3.93,0,0.98,0,0
 84-94,0,0,1.06,0,0,0,0,0,1.06,0,2.12,0,0,0,1.06
 96-106,0,0,0,0,0,0,1.09,1.09,0,2.19,0,0,2.19,0,1.09
108-118,1.53,1.53,0,0,0.77,0,0,0,0.77,0.77,2.3,0,2.3,0,0
120,0,0,1.96,0,0,3.92,0,0,0,0,0,1.96,1.96,0,0
