stage,epidermis,eye,fast_muscle,fin_mesenchyme,glial,heart,immune,iridophores,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,1,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,1,1,2,0,0,0
 24-34,0,0.82,0,0,0,1.64,0,0,0,0,3.28,2.46,8.21,1.64,0,0,0,0,0.82,2.46,0,0,0
 36-46,0.81,1.61,0.81,0.81,0,0,0,0,0,0,6.45,1.61,8.06,2.42,0,0,0,0,0,2.42,0,0,0
 48-58,0,0.57,0,0,0,0,0,1.15,0,0,4.59,0.57,2.3,4.02,0,0,0,0,0,0.57,0,0,0
 60-70,0.98,2.94,0,0,0.98,0.98,0,0.98,0,0,5.89,2.94,9.82,8.83,0,0,0,0,0,0,0,0,0
 72-82,0,2.94,0,1.96,0.98,0,0,1.96,0,0.98,28.47,0,7.85,17.67,0,0,0,0,0,0.98,0,0,0
 84-94,0,1.06,2.12,2.12,0,1.06,0,0,0,0,3.19,0,1.06,2.12,0,1.06,0,0,0,0,0,0,0
 96-106,1.09,0,1.09,0,2.19,0,0,1.09,0,0,12.02,1.09,3.28,13.11,0,0,0,0,0,0,2.19,0,1.09
108-118,0.77,0.77,0,1.53,0,0,0.77,1.53,0.77,0,11.49,0,3.83,14.55,0,0,0,0,0,0.77,1.53,0.77,0
120,0,0,0,0,1.96,0,0,0,0,0,7.84,0,1.96,11.76,1.96,0,1.96,0,0,0,0,0,0
