stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,3.15,0,0,12.59,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,17,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,30,0,4,0,0,0,1,0,1,3,0,0,0,0,0
 24-34,0,0,0,4.93,0,10.67,0,0,0,15.6,0,0,0,0,0,0,0,0,0,4.1,0,0,0,358.71,0,28.73,0,0,0,0,0,0,29.55,0,0,0,0,0
 36-46,0,0,0,2.42,0,81.37,0.81,0,0,139.38,0,0,0,0,0,0,0,0,0.81,4.83,0,0,0.81,710.6,0,21.75,0.81,0,0,1.61,0,0,79.76,0,0,0,0,0.81
 48-58,0,0,0,5.16,0.57,362.07,0,0,0.57,327.07,0.57,0,0.57,0,0,0,1.15,0,0.57,11.48,0,0,5.74,1275.57,1.15,21.23,0.57,0,0,0.57,0,0,154.35,0,0,1.72,0,0.57
 60-70,0,0,0,5.89,0.98,654.68,0.98,1.96,1.96,315.07,0,0,0.98,0.98,0,2.94,0,0.98,0,21.59,0,0,1.96,1630.31,0.98,16.69,0.98,0,0.98,0,0,0,125.63,0,0,0,0,2.94
 72-82,0,0,0,12.76,0.98,628.26,0.98,0,1.96,279.77,0,0,0,0,0,0.98,0.98,0.98,0,45.16,0,1.96,1.96,1273.22,0.98,20.61,0,0,0,4.91,0,0,72.64,0.98,2.94,2.94,0,1.96
 84-94,0,0,0,18.05,3.19,369.59,0,0,0,145.5,1.06,0,0,1.06,1.06,2.12,1.06,0,0,27.61,0,2.12,1.06,545.89,0,13.81,0,0,2.12,3.19,0,0,40.36,0,1.06,0,1.06,0
 96-106,0,0,0,12.02,2.19,254.63,0,3.28,1.09,124.58,0,0,2.19,1.09,0,1.09,1.09,0,0,16.39,0,0,3.28,430.58,0,18.58,1.09,0,1.09,4.37,0,0,13.11,0,0,1.09,0,0
108-118,0,0,0,9.96,0.77,197.62,0,1.53,0,126.38,0,0,0,0,0.77,0.77,0,0.77,0.77,15.32,0.77,0.77,0.77,535.41,0.77,16.85,0,0,0,1.53,0,0,9.19,1.53,0,0,0,0.77
120,0,0,0,15.68,0,221.46,0,0,0,176.38,1.96,0,0,0,0,0,0,0,0,25.48,0,1.96,1.96,695.72,0,9.8,0,0,0,0,1.96,1.96,19.6,0,0,1.96,0,0
