stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,421.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,7.89,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,2,5,1,0,3,0,0,0,15,0,0,0,0,1,0,0,1,3,0,0,0,135,0,4,4,0,0,1,15,0,99,0,0,0,0,0
 24-34,0,0,3.28,2.46,2.46,0,0,11.49,0,0,0,15.6,0,0,0,0,0.82,0,4.1,0,4.93,0.82,0,0.82,360.36,0,12.31,4.1,0,0,4.93,13.13,0.82,149.4,0,0,1.64,0,0
 36-46,0,0,0.81,0,1.61,0,0,65.26,0,0,0,28.2,0,0,0,0,0,0,0,0,3.22,1.61,0.81,0,659.04,0,20.95,2.42,0,0,4.03,8.86,0,219.14,0,0,0,0,1.61
 48-58,0,0,0,0,1.72,0,0,169.27,0,1.15,0,47.05,1.15,1.72,0.57,0,0,0.57,1.15,0,5.74,0,0.57,1.72,631.19,0.57,9.18,2.87,0,0,0.57,1.15,0,211.73,0,0,1.72,0,0
 60-70,0,0,0,0,5.89,0,0,310.16,0,0,0,48.09,0,0,0.98,0,0,0,1.96,0,6.87,0.98,0,0,834.29,0,9.82,4.91,0,0,6.87,0.98,0,205.14,0,0,0.98,0,0
 72-82,0,0,2.94,0,2.94,0.98,0,283.7,0,1.96,0.98,87.37,4.91,0,0,0.98,1.96,0.98,0.98,0,29.45,0,0,1.96,743.12,0,21.6,5.89,0,0,6.87,0.98,0,163.94,0.98,0,0.98,0,0.98
 84-94,0,0,0,0,7.43,0,0,202.85,4.25,0,0,53.1,2.12,1.06,0,6.37,1.06,0,7.43,0,19.12,2.12,4.25,2.12,387.64,0,12.74,11.68,0,0,15.93,3.19,1.06,78.59,0,1.06,3.19,2.12,1.06
 96-106,0,0,1.09,1.09,13.11,0,0,180.32,0,0,0,52.46,18.58,0,0,1.09,1.09,0,13.11,2.19,14.21,0,1.09,1.09,334.41,2.19,10.93,7.65,0,1.09,7.65,2.19,0,46.99,1.09,1.09,3.28,3.28,1.09
108-118,0,0,3.83,0,7.66,3.06,2.3,161.62,3.06,0.77,0,56.68,19.92,0,0.77,3.83,1.53,1.53,6.89,0.77,13.02,2.3,0,2.3,474.9,0.77,11.49,9.19,0,0,15.32,3.83,1.53,42.13,3.83,0,0.77,0,0
120,1.96,0,0,0,7.84,3.92,5.88,146.98,0,1.96,0,52.91,9.8,0,0,0,1.96,1.96,7.84,1.96,5.88,3.92,0,0,358.64,0,11.76,5.88,0,0,15.68,5.88,1.96,15.68,1.96,0,0,0,0
