stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,18.88,0,0,0,3.15,0,0,0,0
 14-21,0,0,28,1,0,0,0,22,0,0,8,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,15,0,0,0,0
 24-34,0,0,3.28,0.82,0,0.82,0,50.89,0,0,0,0,0,0,0,0,0,0.82,0,0,0,6.57,0.82,0,0,0.82,0,0,0.82,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,13.7,0,0,0,1.61,0,0,0,0,0,8.06,0,0,1.61,3.22,0,0,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,2.3,0,0,0.57,0,13.2,0.57,1.15,0,0,0,0,0.57,0,0,27.54,0,0,0,0.57,0,0.57,0,0,0,0,0,1.15,0,0,0
 60-70,0,0,1.96,0,0,2.94,0,5.89,0,0,0,1.96,0,0,0.98,0,0,41.22,0,0,0,0.98,0,1.96,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,10.8,0,1.96,0,1.96,0,0.98,0,0,0,0,0,93.26,0,0,2.94,2.94,0,3.93,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,2.12,0,0,7.43,0,0,1.06,1.06,0,1.06,2.12,0,0,0,0,75.4,0,1.06,7.43,3.19,0,8.5,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,1.09,0,0,6.56,1.09,2.19,0,1.09,0,2.19,1.09,0,1.09,1.09,1.09,77.59,0,0,4.37,9.84,0,10.93,0,1.09,0,1.09,0,1.09,0,0,0
108-118,0,0,2.3,0,0.77,7.66,0,0.77,0.77,1.53,0,0.77,0.77,0.77,0.77,0,0,50.55,0,0.77,8.43,9.19,0,7.66,0,0,0,0,0,0,1.53,0.77,0
120,0,0,1.96,0,0,3.92,0,1.96,0,0,0,0,0,0,0,0,0,48.99,0,0,11.76,5.88,0,3.92,0,0,0,0,0,0,0,0,0
