stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,13,10,0,1,0,0,0,0,0,1,0,1,0,0,3,0,6,1,0,0,0,0,0,1,3,2,0,0,1,0,0
 24-34,0,9.85,0.82,0,0,2.46,1.64,0,0,0,2.46,2.46,0,0,0,1.64,0,2.46,4.1,0,0,0,0,0,0,4.1,0.82,0,0,20.52,0,0
 36-46,0,6.45,0,0,0.81,3.22,0,0,0,0,0,0.81,0,0,0,4.03,0.81,7.25,8.06,0,0,0,0,0,0,0,0.81,0,0,13.7,0,0
 48-58,0,4.02,0,0,1.15,2.3,0,0,0,0,4.59,2.87,0,0.57,0,15.49,0.57,4.59,10.9,0.57,0,0,0,0,0,0,0.57,0,1.15,22.95,0,0.57
 60-70,0,4.91,0,0,0.98,4.91,0,0,0,0,3.93,7.85,0,0,0.98,36.32,2.94,5.89,11.78,0,0,0,0.98,0.98,0,0,0,0,2.94,17.67,0,0
 72-82,0,4.91,0.98,0,0.98,1.96,0,0,0.98,0,1.96,18.65,0.98,0.98,0,52.03,0.98,5.89,9.82,0,0.98,0,0.98,0,0,0,0,0,4.91,50.06,0.98,0
 84-94,0,13.81,0,0,2.12,6.37,2.12,0,0,0,3.19,23.36,3.19,1.06,0,32.92,3.19,3.19,5.31,0,1.06,0,0,0,0,0,0,1.06,0,48.85,0,1.06
 96-106,0,15.3,4.37,0,3.28,6.56,4.37,3.28,2.19,0,5.46,29.51,0,1.09,0,68.85,8.74,6.56,20.76,1.09,1.09,0,7.65,1.09,0,0,0,1.09,2.19,50.27,6.56,0
108-118,0,17.62,1.53,0.77,1.53,9.19,2.3,0.77,1.53,0,0.77,32.94,1.53,5.36,0,52.09,2.3,6.13,8.43,0,0,0,4.6,0.77,0,0,0,1.53,3.83,36.77,2.3,0
120,0,17.64,7.84,0,0,7.84,1.96,0,1.96,0,5.88,23.52,1.96,0,0,27.44,0,1.96,5.88,0,0,0,1.96,0,0,0,0,0,0,31.36,1.96,0
