stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,12,2,0,1,1,0,4,0,1,3,0,0,0,0,0
 24-34,0,0,0.82,0,0,0.82,0.82,0,0,0,0,0.82,0,0,0,0,0,0,2.46,0,0,1.64,12.31,0,0,0.82,0,0,3.28,0,0.82,1.64,0,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0.81,0,0.81,0,0,0,0,0,0,0,0,4.83,0,0,0,17.72,0,0,0.81,0,0,10.47,0,0,4.03,0,0,0,0,0
 48-58,0,0,0.57,0,0,2.87,0,0.57,0,2.3,0,0.57,0,0,0,0,0,0,4.59,0,0.57,0.57,17.79,1.15,0,0,0,0,6.31,0,0,1.72,0,0,0,0,0
 60-70,0,0,0.98,0,4.91,3.93,0,0,0,2.94,0,0,0,0,0,0,0,0,5.89,0,0,0,23.56,0,0,0,0,0.98,6.87,0,0,0.98,0,0,0,0,0
 72-82,0,0,4.91,2.94,69.7,28.47,0,0,0.98,7.85,0.98,0.98,1.96,0,1.96,0,2.94,0,37.3,1.96,0,2.94,103.07,0,0,0.98,0,0,13.74,0.98,0,3.93,0,0,2.94,0.98,0
 84-94,0,0,1.06,3.19,147.62,18.05,0,2.12,0,5.31,1.06,0,4.25,0,2.12,1.06,4.25,0,23.36,0,0,4.25,57.35,2.12,1.06,0,0,0,18.05,0,0,2.12,2.12,0,2.12,1.06,0
 96-106,1.09,1.09,15.3,25.14,310.37,74.31,1.09,1.09,5.46,26.23,6.56,2.19,12.02,5.46,4.37,4.37,13.11,3.28,62.29,3.28,4.37,6.56,174.86,1.09,0,4.37,0,1.09,42.62,0,0,6.56,7.65,1.09,16.39,3.28,3.28
108-118,2.3,0,18.38,19.92,634.22,80.43,1.53,3.83,3.06,41.36,7.66,0,6.13,4.6,6.89,3.06,6.13,2.3,79.66,1.53,4.6,7.66,251.24,3.06,4.6,5.36,0,0.77,49.02,0,0.77,3.83,14.55,0.77,13.02,3.83,6.13
120,1.96,0,33.32,7.84,284.17,50.95,1.96,1.96,7.84,25.48,1.96,0,5.88,1.96,1.96,1.96,0,0,39.2,0,3.92,5.88,180.3,3.92,0,1.96,0,1.96,27.44,1.96,0,3.92,9.8,0,7.84,1.96,1.96
