stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.36,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,11,0,0,0,0,1,0,1,1,1,4,0,0,0
 24-34,0,0,0,0.82,3.28,0.82,0,0,0,0,0.82,0,0.82,0,0,0.82,1.64,0,1.64,9.85,1.64,0,0.82,0,0.82,0,0,0,0,3.28,0,0,0
 36-46,0,0,0,0.81,7.25,0,0,0,0,0,0,0,0,0.81,0,0,5.64,0,0,9.67,0,0,0,0,9.67,0,0,0,0,1.61,0,0,0
 48-58,0,0,0,1.15,2.87,0,0,0.57,0,0.57,0.57,0,0,0,0,0,3.44,0,0,6.31,0,0,0,0,2.87,0.57,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,5.89,1.96,0,0,0.98,0,0,0,0,0,0,0,5.89,0,0,1.96,0,0.98,0,0,2.94,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,1.96,0.98,0,0,0,0.98,0,0,0,0,0,0,0,2.94,0.98,0,0.98,0,0.98,0,0,3.93,0,0,0,0,0,0,0,0
 84-94,0,0,0,3.19,0,3.19,1.06,0,0,0,0,3.19,2.12,0,0,0,4.25,0,0,0,0,0,0,0,24.43,0,0,1.06,0,0,0,1.06,0
 96-106,0,0,0,4.37,3.28,1.09,0,0,1.09,0,0,2.19,0,0,1.09,1.09,3.28,0,0,3.28,0,1.09,1.09,0,12.02,0,0,0,0,0,1.09,0,0
108-118,0,0,0,3.06,1.53,0.77,0,0,2.3,0,0,1.53,0.77,0,0,0.77,1.53,0.77,1.53,5.36,0,2.3,0,0,10.72,0,0,0.77,0,0,0,0.77,0.77
120,0,0,0,0,0,0,0,0,1.96,0,0,0,1.96,0,0,0,0,0,0,5.88,0,0,0,0,13.72,0,0,0,0,0,0,0,0
