stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,10.51,0,0,23.66,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,26,1,0,2,0,0,0,2,5,0,0,0,0,0,0,0,8,0,0,7,66,2,1,0,2,1,0,10,1,1,9,42,0,0,0,0,0
 24-34,0,0,0.82,2.46,22.16,0,0,12.31,0,0,0,0,0,0.82,0,2.46,0.82,0.82,0.82,0.82,24.63,0,0,19.7,151.04,1.64,0.82,3.28,0,8.21,0,0,1.64,0,1.64,38.58,0,0,1.64,0,1.64
 36-46,0,0,0,0.81,3.22,0,0,16.92,0,0,0.81,4.03,0,0.81,0,0.81,0.81,0,0,1.61,11.28,0,1.61,5.64,85.4,0,1.61,0.81,0,1.61,0,0,0,0.81,0,27.39,0,0,1.61,0,0
 48-58,0,0,0,0,5.74,0,0,48.77,0.57,1.15,2.3,14.35,0,0,0,0.57,0,1.15,0,0.57,28.12,0,1.15,5.16,149.19,0,1.15,1.72,0,4.02,0,0,0.57,0,0,59.68,0,0.57,2.3,0,1.15
 60-70,0,0,0,0,3.93,0,0,235.57,1.96,2.94,0,37.3,1.96,0.98,0,0,0.98,1.96,0.98,0,49.08,0.98,1.96,5.89,443.65,0.98,0.98,1.96,0,8.83,0,0,0,0,0,74.6,0,1.96,2.94,0,0
 72-82,0,0,0,0,3.93,0,0,50.06,0,0,0,0.98,0,0,0.98,1.96,0,2.94,0,0,18.65,0,2.94,5.89,95.22,0,0.98,3.93,0,1.96,0,0,0.98,0,0,9.82,0.98,0.98,5.89,2.94,0
 84-94,0,0,0,0,5.31,2.12,0,54.16,1.06,0,1.06,10.62,3.19,0,0,1.06,1.06,2.12,2.12,0,23.36,2.12,2.12,2.12,76.47,1.06,0,3.19,0,12.74,0,0,0,0,0,7.43,1.06,0,4.25,1.06,2.12
 96-106,0,0,0,0,12.02,2.19,0,39.34,1.09,0,0,9.84,0,0,0,2.19,0,4.37,0,0,13.11,1.09,1.09,3.28,78.68,1.09,2.19,2.19,0,13.11,0,0,0,0,0,8.74,2.19,0,2.19,4.37,0
108-118,0,0,0,0,8.43,0.77,1.53,29.11,0,1.53,0,9.19,3.83,0.77,1.53,0.77,1.53,0.77,0.77,1.53,15.32,0,0.77,3.83,85.02,0.77,2.3,4.6,0,6.13,0,0,0.77,0,0,2.3,0,0.77,4.6,0,2.3
120,0,0,0,0,9.8,5.88,0,25.48,1.96,3.92,0,5.88,1.96,0,3.92,0,3.92,0,0,1.96,11.76,0,1.96,0,66.63,0,0,0,0,3.92,0,0,1.96,1.96,0,3.92,3.92,0,0,1.96,0
