stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,pericytes,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
 24-34,0,0,10.67,0.82,0,0,0,0,0,9.03,11.49,0,0.82,0,1.64,0,0,0,0,1.64,0,0,0,0,0,17.24,0,0.82,0,0
 36-46,0,0,1.61,0,0,0,0.81,0,0.81,14.5,13.7,0,0,0,0.81,0,0,0,0,1.61,0,0,0,0,0,12.09,0,0,0,0
 48-58,0,0,0,0,0,0,2.87,0,0.57,12.05,18.36,0,0,0,1.72,0,1.15,0,0,2.3,0,0,0,0,0,8.03,0,0,0,0
 60-70,0,0.98,0,0,0,0,0.98,0,0,3.93,16.69,0,0,0,8.83,0,0,0,0,3.93,0,0,0,0,0,4.91,0,0,0,0
 72-82,0,0,0,0,0.98,0,4.91,0.98,0,12.76,28.47,0,0.98,0,91.29,0,8.83,0,0.98,13.74,0,0,0,0.98,0,4.91,0,0.98,0,0.98
 84-94,0,1.06,1.06,0,1.06,0,0,0,0,5.31,62.66,0,0,0,302.68,0,4.25,0,0,11.68,0,0,1.06,2.12,0,15.93,0,0,0,1.06
 96-106,0,4.37,0,4.37,3.28,0,9.84,0,0,12.02,63.39,0,0,0,559.54,1.09,6.56,0,0,65.57,0,0,1.09,6.56,0,8.74,0,1.09,1.09,1.09
108-118,0,1.53,0,3.06,2.3,0.77,7.66,0,0.77,8.43,41.36,1.53,0,1.53,1049.37,0,4.6,0.77,0.77,55.92,0,0,0,3.83,0.77,10.72,1.53,0,0,0
120,0,0,0,5.88,0,0,7.84,0,0,0,19.6,1.96,1.96,0,623.21,0,3.92,0,1.96,48.99,1.96,0,0,1.96,0,5.88,0,0,0,0
