stage,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,27,0,0,0,0,0,0,0,29,0,1,0,0,0,0,58,0,0
 24-34,0,0,2.46,0,0,0,32.01,0,0,0,0,0.82,0,0,146.93,5.75,0,0,0,0,0.82,162.53,1.64,0
 36-46,0,0.81,6.45,0,0,0,30.62,0,0,0,0,1.61,0,0,243.31,4.83,0.81,0,0,0,0,215.92,0,0
 48-58,0,0.57,8.61,0,0.57,0,22.95,0,0,0,0,3.44,0.57,0.57,114.19,2.3,1.15,0,1.15,0,0,91.81,0,0
 60-70,0,0,2.94,0,0,0,11.78,0,0,0.98,0,0.98,0,0,108.95,0.98,0,0,0,0.98,0,30.43,0,0
 72-82,0,1.96,11.78,0,0,0,22.58,0.98,0,0,0,0.98,0,0,106.02,5.89,3.93,0,0.98,0,0,25.52,0,0
 84-94,0,0,8.5,0,0,0,8.5,0,0,0,0,3.19,0,0,54.16,4.25,4.25,0,0,0,0,12.74,0,0
 96-106,0,2.19,3.28,0,1.09,0,14.21,0,0,3.28,1.09,2.19,0,0,83.06,5.46,3.28,0,1.09,0,0,9.84,0,1.09
108-118,0,0.77,6.13,0.77,0,0.77,21.45,0.77,0,1.53,0,0.77,0,0,97.28,3.06,8.43,0,0,0.77,0,9.19,0,0
120,0,0,7.84,0,0,0,15.68,0,3.92,1.96,0,0,0,0,133.27,3.92,3.92,0,0,0,0,3.92,0,0
