stage,blastomeres,endocrine_pancreas,endoderm,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,liver,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,spinal_cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,0,0,0,0,9.44,0,9.44,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,1.15,1.15,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,1.96,0,0,0,0.98,6.87,0,0,1.96,0,0.98,0,0,0,0
 84-94,0,0,8.5,0,0,0,0,7.43,0,1.06,1.06,1.06,0,0,0,0,0
 96-106,0,0,15.3,1.09,0,0,0,19.67,0,0,1.09,0,1.09,0,0,0,0
108-118,0,0.77,16.85,0,0,0,0,18.38,0,0,4.6,0,0.77,0.77,0,0.77,0
120,0,0,3.92,0,0,1.96,0,11.76,0,0,1.96,0,1.96,0,0,0,0
