stage,blastomeres,endoderm,erythrocytes,eye,fin_mesenchyme,glial,liver,mesenchyme,mural_cell,neural,notochord,paraxial_mesoderm,taste,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,2.63,0,2.63,0,0
 10-12,0,3.15,3.15,3.15,0,0,0,0,0,3.15,3.15,0,0,0
 48-58,0,0,0,0,0,0,1.15,0,0,0.57,0,0,0,0
 60-70,0,0,0,0,0,0.98,1.96,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,0,0.98,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,1.09,0,0,13.11,0,0,7.65,1.09,0,1.09,0
108-118,0,0,0,0.77,0,0,20.68,0.77,0,5.36,0,0,0,0.77
120,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
