stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,8,3,6,0,0,0,6,1,0,0,0,0,0,0,7,0,0,7,86,2,0,1,2,0,3,3,6,32,0,0,0,0,0
 24-34,0,0.82,0,11.49,0,0,0,2.46,0,0,0,0,0.82,0,0.82,14.78,0,0,5.75,96.86,0,0,2.46,0,0,3.28,0,0,35.3,0,0,2.46,0,0
 36-46,0,1.61,0.81,27.39,0,0,0,5.64,0,0.81,0,0,0,0,0.81,7.25,0,0,5.64,108.77,0,1.61,0,0,0,4.83,0,0.81,28.2,0,0,1.61,0,0
 48-58,0,0.57,0,22.95,1.72,0.57,0,7.46,0,0,0,0,0,0.57,0.57,14.35,1.15,0.57,1.72,69.43,0,1.15,0.57,0,0,2.3,0,0,13.77,0,0,1.15,0,0.57
 60-70,0,0.98,3.93,26.5,0,0,2.94,14.72,0,0,0,0,0,0,0,21.59,0,0.98,0.98,72.63,0.98,0.98,1.96,0,0,6.87,0,0,13.74,0,0,2.94,0,1.96
 72-82,0,0.98,10.8,20.61,0,0,0,24.54,0,0,0,0,0,0.98,0,34.36,0.98,1.96,6.87,57.92,0,1.96,3.93,0,0,2.94,0,0,5.89,0,0.98,3.93,0.98,0
 84-94,0,4.25,10.62,13.81,0,0,1.06,13.81,0,0,1.06,4.25,0,2.12,0,22.3,1.06,0,1.06,41.42,0,1.06,1.06,0,1.06,9.56,0,0,5.31,1.06,0,1.06,2.12,0
 96-106,2.19,1.09,21.86,21.86,1.09,1.09,1.09,19.67,5.46,0,1.09,4.37,0,0,0,27.32,0,0,2.19,50.27,1.09,2.19,2.19,0,1.09,7.65,0,0,1.09,2.19,0,6.56,3.28,0
108-118,0,3.06,10.72,24.51,0.77,3.06,0,13.79,3.06,0,0,5.36,0,0.77,0,27.57,0.77,0,1.53,49.79,0.77,3.06,0.77,0,0,5.36,0,0,1.53,0,0.77,3.83,0.77,0
120,0,1.96,3.92,27.44,0,0,0,9.8,0,0,0,5.88,0,1.96,0,9.8,0,1.96,3.92,64.67,0,1.96,3.92,0,0,11.76,0,0,0,1.96,0,1.96,1.96,0
