stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,visceral_smooth_muscle
  3-4,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,2.63,2.63,0,7.89,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,28.32,0,0,0,0,0,22.03,9.44,0,72.38,0,0,0,0,0,0,0
 14-21,0,1,9,0,2,0,0,0,1,0,0,5,0,3,24,30,0,26,0,128,3,29,34,0,0
 24-34,0,0,1.64,0.82,0.82,0,0.82,0.82,0,0,0.82,0,0,0,10.67,1.64,0,0,0,0,0,5.75,7.39,0,0
 36-46,0,0,0.81,0,2.42,0,1.61,0,0,0,0,1.61,0,1.61,8.06,0,0,0,0,0,0,0,2.42,0,0
 48-58,0,0,1.72,0,0.57,0,0,0.57,0,0,0,0.57,0.57,0.57,8.03,0,0,0,0.57,0,0,0,1.72,0,0
 60-70,0,0,0,0,0,0,0,3.93,0,0.98,0,0.98,0,0,16.69,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0.98,0.98,5.89,0,0,3.93,0,0,0,0.98,0,0,19.63,0,0,0,0,0,0,0,5.89,0.98,0
 84-94,0,0,2.12,0,2.12,0,0,2.12,0,0,0,1.06,0,0,12.74,0,1.06,0,0,0,0,0,0,1.06,1.06
 96-106,0,0,2.19,0,1.09,1.09,1.09,1.09,0,0,0,1.09,0,0,16.39,0,0,0,1.09,0,0,0,1.09,1.09,0
108-118,0,0,0,0,0.77,0.77,0,1.53,0,0,0,1.53,0,0,16.85,0,0,0,0,0,0,0,0.77,0,0.77
120,0,0,1.96,0,0,0,0,0,0,0,0,0,1.96,0,17.64,0,0,0,0,0,0,0,0,0,0
