stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,144.96,5561.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.02,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,545.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.91,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,52.57,0,0,0,10.51,0,0,18.4,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.64,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,11,1,10,0,0,0,4,1,0,0,0,0,0,0,0,14,15,0,0,3,262,0,0,16,1,0,0,0,4,0,3,54,0,0,1,0,3
 24-34,0,0,0.82,0,19.7,0,50.07,0,0,0.82,5.75,0,0,0,0,0,0,0,0,24.63,30.37,0,0,9.03,252.82,0,1.64,9.85,0,0,1.64,0,0.82,0,2.46,62.39,0,0,3.28,0,6.57
 36-46,0,0,1.61,0,10.47,0,87.82,0,0.81,0.81,34.64,0,0,0.81,0,0,0.81,0,0,11.28,33.03,0,0.81,8.06,518.85,0,1.61,0.81,0,0,0.81,0.81,0,0,0,102.32,0,0.81,2.42,0,8.86
 48-58,0,0,0,0,4.59,0,170.42,0.57,2.3,0,111.89,0,0,0.57,0,0,1.15,0,0,9.18,57.95,0,4.02,5.74,568.64,0.57,1.15,1.72,0,0,1.15,0,0,0,0,125.09,0,0.57,2.87,0,13.77
 60-70,0,0,0,0,7.85,0.98,251.27,0,4.91,1.96,217.9,0,0,0,0.98,0,0.98,0.98,0,3.93,110.91,0,6.87,9.82,742.03,0,0.98,2.94,0,0,0.98,0.98,0,0.98,0,158.03,0,7.85,2.94,2.94,11.78
 72-82,0,0,0,1.96,22.58,1.96,509.48,0,0,4.91,436.84,0,0,2.94,0.98,0,2.94,5.89,0.98,1.96,217.93,0,11.78,7.85,967.92,0,5.89,3.93,0,0.98,0,0,0,0,0,114.85,3.93,15.71,3.93,16.69,13.74
 84-94,0,0,1.06,2.12,43.54,1.06,367.46,0,4.25,2.12,250.64,0,0,1.06,0,1.06,4.25,2.12,0,10.62,98.77,0,10.62,0,525.71,0,1.06,8.5,0,1.06,6.37,0,0,0,0,73.28,0,5.31,7.43,12.74,7.43
 96-106,0,0,0,2.19,52.46,2.19,480.85,1.09,4.37,4.37,372.66,1.09,0,3.28,2.19,1.09,3.28,2.19,1.09,8.74,95.08,0,13.11,4.37,573.74,0,4.37,10.93,0,2.19,4.37,0,0,0,0,44.81,0,17.49,2.19,14.21,8.74
108-118,0,0,0,4.6,78.89,0.77,457.28,1.53,9.19,6.13,370.73,0,0,2.3,1.53,0.77,3.83,2.3,1.53,4.6,108,0,13.79,5.36,693.2,0.77,4.6,9.19,0,0,4.6,0,0,0,0,29.11,0.77,16.85,1.53,7.66,8.43
120,0,0,0,0,80.35,3.92,276.33,1.96,7.84,0,288.09,0,0,0,1.96,0,3.92,0,1.96,5.88,70.55,1.96,11.76,1.96,652.61,0,0,1.96,0,0,3.92,0,0,1.96,0,27.44,0,9.8,5.88,7.84,1.96
