stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,131.78,1581.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,724.79,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,435.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.04,0,0,0,0,514.89,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,5.26,0,0,0,10.51,0,0,0,0,34.17,0,0,0,0,0,0,0,0,0,0,0,78.86,5.26,0,0,23.66,94.63,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,3.15,0,0,0,0,40.91,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,18.88,28.32,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,4,0,34,0,0,0,0,0,0,12,1,0,0,32,0,0,0,0,1,5,0,0,19,0,1,0,0,610,0,3,5,1,3,4,0,0,0,0
 24-34,0,0,2.46,0.82,18.06,0,0,1.64,0.82,0,0,4.93,0.82,0,0.82,29.55,0,0.82,0.82,0,3.28,22.16,0,0.82,96.86,0,39.4,0.82,0,546.69,0,0,8.21,0.82,0,2.46,0,0.82,0,0
 36-46,0,0,0.81,0,12.09,0,0,3.22,3.22,0,0,4.03,0,0,0,15.31,0,4.03,0,0,0,15.31,0,0.81,101.51,0,25.78,0,0,421.37,0,0,4.83,0,0,6.45,0,0,0,0
 48-58,0,0,0,2.3,14.35,0.57,0,9.75,4.02,0,1.72,13.2,10.33,0,0,13.2,0,2.87,2.3,0.57,4.59,15.49,0,0,55.66,0,20.08,0,0,440.68,0,0,1.15,0,0,4.02,0,0,0,0
 60-70,0,0,0.98,0,36.32,0,0,11.78,4.91,0,0.98,45.15,5.89,0,0.98,17.67,0,10.8,2.94,0,0,15.7,0,0,41.22,0,13.74,0.98,0,402.42,0,0,2.94,0,0,1.96,4.91,0,0,0
 72-82,0,0,27.49,2.94,60.86,0,0,22.58,3.93,1.96,6.87,211.06,6.87,0,0.98,57.92,0,19.63,1.96,0,4.91,27.49,0,0,73.62,0,27.49,1.96,0,404.44,0,0,0.98,0,0,0,22.58,2.94,0.98,0
 84-94,0,0,21.24,10.62,139.13,2.12,0,10.62,25.49,0,4.25,450.3,8.5,0,2.12,78.59,0,9.56,13.81,0,9.56,29.74,1.06,2.12,41.42,0,60.54,0,0,999.38,0,0,13.81,1.06,0,0,76.47,0,0,1.06
 96-106,0,0,25.14,12.02,174.86,1.09,1.09,32.79,21.86,2.19,2.19,569.37,0,1.09,3.28,130.05,0,27.32,14.21,0,7.65,40.44,0,0,91.8,1.09,101.63,5.46,0,773.74,0,0,2.19,0,0,1.09,104.91,0,1.09,2.19
108-118,0,0,11.49,18.38,136.34,0,0,19.15,29.11,0.77,5.36,450.39,0,0,0,96.51,0.77,27.57,13.79,0,6.89,36,0,2.3,74.3,0,64.34,0,0,794.3,0,0,9.19,0.77,0,0,101.87,0.77,0.77,0
120,0,0,5.88,5.88,94.07,0,0,7.84,21.56,1.96,1.96,266.53,0,0,1.96,47.03,1.96,15.68,5.88,0,7.84,15.68,0,0,58.79,0,47.03,3.92,0,372.36,0,0,9.8,0,0,0,29.4,0,0,0
