stage,epidermis,erythrocytes,eye,fin_epithelia,glial,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,muscle,neural,paraxial_mesoderm,periderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
 24-34,0,0,0,0.82,0,0.82,0,0.82,0,0,0,0,0,0.82,0,4.1,0,5.75
 36-46,0,0,0,0,0,0,0,0,0.81,0,0.81,0,0.81,0.81,0,4.03,0.81,3.22
 48-58,0,0,1.15,0,0,0.57,0.57,0,0,0,1.15,0,0,0,0,4.59,0,2.3
 60-70,1.96,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,8.83,0,0.98
 72-82,1.96,0,1.96,0,0.98,0.98,2.94,0,0,0,0,0.98,0,0.98,0,4.91,0,11.78
 84-94,0,0,0,0,0,0,2.12,0,0,0,1.06,0,0,0,0,4.25,0,1.06
 96-106,2.19,1.09,0,0,0,1.09,1.09,0,0,1.09,1.09,0,0,0,0,2.19,0,5.46
108-118,0,0,0.77,0,0,0.77,1.53,0,0,0,1.53,0,0,1.53,0,7.66,0,1.53
120,0,0,1.96,0,0,0,5.88,0,0,0,0,0,0,1.96,0,1.96,0,0
