stage,blastomeres,epidermis,erythrocytes,eye,glial,hatching_gland,lateral_line,mesenchyme,mucous,neural,olfactory,otic,pgc,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0
 24-34,0,0,0,0.82,0,0,0,0.82,0,37.76,0,0,0,9.03,0
 36-46,0,0,0,0.81,0,0,0,0,0,94.26,1.61,0,0,14.5,0
 48-58,0,0,0,10.33,0.57,0,0,1.72,0,104.43,0.57,0,0,11.48,0
 60-70,0,0,0,28.46,3.93,0,0,0,0.98,241.45,0,0,0,32.39,0
 72-82,0,0,0.98,32.39,7.85,0,0,1.96,0,265.05,0,0.98,0,16.69,0.98
 84-94,0,1.06,0,25.49,7.43,0,0,2.12,0,145.5,0,1.06,0,7.43,0
 96-106,0,1.09,0,25.14,5.46,0,1.09,3.28,0,115.84,0,0,0,7.65,0
108-118,0,2.3,0,12.26,6.13,0,0,2.3,0,104.94,0,0.77,0,1.53,0
120,0,0,0,1.96,1.96,0,0,3.92,0,117.59,0,0,0,7.84,0
