stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,31.47,3.15,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,16,38,0,2,0,0,0,2,0,0,0,0,3,0,0,0,0,3,0,0,4,117,3,2,1,0,0,0,1,6,0,69,654,62,0,0,14,0,0
 24-34,0,0,0,6.57,26.27,0,8.21,7.39,0.82,0,0,0,0,4.93,0,14.78,0,2.46,0,0,2.46,0.82,0,13.95,543.41,0,18.88,6.57,0,0,2.46,0,0.82,0,22.16,265.14,159.25,0,0,98.5,0,0
 36-46,0,0,0.81,1.61,1.61,0,27.39,11.28,0,0.81,2.42,0,0,1.61,0,4.03,0,1.61,0,0,3.22,0,0,8.86,984.53,0,14.5,8.86,0.81,0,2.42,0,0,0,17.72,7.25,240.9,0,0,49.95,0,0
 48-58,0,0,0,1.72,5.74,0,140.58,7.46,0,0.57,11.48,0,0.57,5.16,0,0.57,0.57,2.87,0.57,1.72,8.61,0,0,7.46,1104.57,0,8.61,9.75,0,0,1.72,0,0,0,9.18,0,193.37,0,0,47.63,0,1.15
 60-70,0,0,0.98,2.94,10.8,0,403.41,11.78,0.98,0.98,16.69,0,0,3.93,1.96,0,0,4.91,0,0,15.7,0,0.98,5.89,1656.81,0,9.82,14.72,0,0,3.93,0,0,0,12.76,0,215.93,0,0,50.06,0,0
 72-82,0,0,2.94,5.89,50.06,0,449.6,9.82,0.98,2.94,25.52,2.94,0,9.82,0.98,3.93,0,8.83,0,0,17.67,0,0,2.94,1711.04,0,8.83,31.41,0,0,0.98,0,0,0,3.93,0,126.63,0.98,0.98,91.29,2.94,1.96
 84-94,0,0,0,10.62,37.17,0,318.61,13.81,0,1.06,23.36,0,0,4.25,2.12,5.31,2.12,9.56,0,2.12,18.05,0,4.25,12.74,846.44,0,5.31,49.92,0,0,3.19,0,0,2.12,5.31,0,55.23,1.06,1.06,80.71,2.12,0
 96-106,0,0,0,6.56,42.62,1.09,249.17,7.65,0,0,31.69,1.09,0,8.74,4.37,13.11,1.09,16.39,1.09,0,30.6,0,2.19,8.74,669.92,0,9.84,50.27,0,0,4.37,0,0,0,8.74,0,27.32,2.19,2.19,96.17,4.37,0
108-118,0,0,1.53,13.79,32.94,0,176.17,8.43,0.77,0,18.38,0,0,2.3,3.83,6.13,0.77,13.79,0.77,1.53,12.26,0,1.53,9.96,715.41,0,6.13,29.87,0,1.53,0.77,0,0,0,18.38,0,23.74,0.77,2.3,66.64,4.6,0
120,3.92,0,0,9.8,47.03,0,152.86,9.8,0,0,27.44,1.96,0,5.88,9.8,3.92,0,13.72,1.96,3.92,5.88,0,5.88,11.76,707.48,1.96,13.72,39.2,0,0,0,0,0,0,7.84,0,15.68,0,0,64.67,5.88,0
