stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,85.81,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,15.73,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,9,3,8,0,0,5,0,0,1,0,1,0,1,0,10,0,0,68,0,0,0,1,0,0,11,2,1,6,11,0,3,0,0
 24-34,0,0,0.82,0,4.93,0.82,5.75,0,0,1.64,0,0,0,0,0,0,0,0,12.31,0,5.75,123.13,1.64,0,0,0,0,2.46,0,0,0,2.46,37.76,0,1.64,0,0
 36-46,0,0,0,0,1.61,0,16.92,0,2.42,5.64,0,0,0,0,0,0,0,0,16.92,0,4.03,82.98,0,0.81,0,0,0,1.61,0.81,0,0,0,18.53,0,1.61,0,0
 48-58,0,0,0,0,0.57,0,35,0.57,0,8.61,0,0,0,0,0.57,0,0,0.57,19.51,0,1.15,48.2,1.15,0,0.57,0,0,0.57,0,0,0,0,14.35,0,0,0,0.57
 60-70,0,0,0,0,1.96,0,25.52,0,0,14.72,0.98,0.98,0,0,0,0.98,0.98,0,31.41,0,4.91,46.13,0,0,0,0,0,5.89,0,0,0,0,9.82,0,0.98,0,0.98
 72-82,0,0,0,0,0.98,0,27.49,0,0.98,6.87,0,0,0.98,0,0,0,0,0,18.65,0,2.94,37.3,0,0,0,0,0.98,1.96,0,0,0,0,5.89,0,4.91,0.98,0
 84-94,0,0,0,0,3.19,0,18.05,0,1.06,6.37,1.06,0,0,2.12,0,0,0,0,11.68,0,2.12,15.93,0,0,0,0,0,3.19,0,0,0,0,1.06,0,3.19,1.06,0
 96-106,0,0,0,0,1.09,0,8.74,2.19,0,8.74,0,0,0,2.19,1.09,0,0,0,10.93,1.09,1.09,10.93,0,1.09,1.09,0,0,1.09,0,0,0,0,2.19,0,4.37,1.09,0
108-118,0,0,0,0,2.3,0,3.83,0.77,0.77,3.06,0,0,0,0,0.77,0,0,0,9.96,0,1.53,13.79,0,0,0,0,0,0.77,0,0,0,0,0,0.77,0.77,0,0
120,0,0,0,0,1.96,1.96,11.76,0,1.96,9.8,0,0,0,0,0,0,0,0,1.96,0,1.96,15.68,1.96,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
