stage,blastomeres,endoderm,epidermis,eye,hatching_gland,ionocyte,liver,mesenchyme,neural,pgc,somites,spinal_cord,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,1,0,0,0,0
 24-34,0,0,0,0.82,0,0.82,0.82,1.64,2.46,0,0.82,0.82,0.82
 36-46,0,0,0,0,0,0,0,0,1.61,0.81,0,0,4.03
 48-58,0,0,0,0.57,0,0,1.15,0,0.57,0,0,0.57,8.61
 60-70,0,0,0,1.96,0,0,0,0.98,0.98,0,0,0,5.89
 72-82,0,0,0,1.96,0,0,1.96,1.96,0.98,0,0,0,10.8
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,8.5
 96-106,0,0,1.09,0,0,0,0,0,0,0,0,0,7.65
108-118,0,0.77,0,0,0,0,0,0.77,0.77,1.53,0,0,3.06
120,0,0,0,0,0,0,0,0,0,0,0,0,1.96
