stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,26.29,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,22.03,0,22.03,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,5,1,0,0,0,0,0,1,0,0,0,4,0,0,0,3,1,7,0,0,3,22,1,0,1,0,0,59,1,0,3,5,0,0,1,0,0
 24-34,0.82,0,0,0,9.85,1.64,0,8.21,0,1.64,0,0.82,0.82,0,0.82,17.24,3.28,0,0.82,3.28,2.46,3.28,2.46,0,0.82,85.37,0.82,9.03,0.82,0,0.82,118.2,0.82,1.64,1.64,30.37,0,0,8.21,0,0.82
 36-46,0,0,0,0,1.61,0,0,10.47,0,0.81,0.81,2.42,0,1.61,0.81,16.92,0.81,0,0.81,4.03,3.22,2.42,4.83,0,2.42,146.63,0.81,12.09,0,0,0,114.41,0,0,0,38.67,0,0,4.03,0,0.81
 48-58,0.57,0,0.57,0,4.02,1.72,0,28.69,0,1.15,0.57,10.33,0,3.44,1.72,17.79,1.15,0,0,0,1.72,10.9,1.72,0,2.87,154.35,0,5.16,0.57,0,0,72.87,0,0,0,33.28,0,0,5.16,0,1.72
 60-70,0,0,0,0,0.98,0.98,0,78.52,0,2.94,0,14.72,0,2.94,0,39.26,0.98,0,0.98,0,0,18.65,4.91,0.98,0.98,160.97,0.98,4.91,1.96,0,0,104.04,0,0,0,17.67,0,0,5.89,0,0.98
 72-82,0,0,0,0,13.74,3.93,0,110.93,0,0,3.93,27.49,3.93,4.91,0.98,50.06,1.96,2.94,2.94,0.98,0.98,32.39,6.87,0.98,2.94,194.37,0.98,13.74,1.96,0,0.98,168.85,0,0,0,16.69,0.98,1.96,9.82,0.98,5.89
 84-94,0,0,1.06,0,33.99,3.19,0,59.47,0,3.19,0,13.81,6.37,5.31,0,74.34,7.43,0,1.06,1.06,2.12,14.87,7.43,1.06,2.12,79.65,0,4.25,1.06,0,0,460.92,0,1.06,0,7.43,0,2.12,12.74,2.12,1.06
 96-106,0,0,2.19,0,84.15,7.65,2.19,78.68,0,6.56,6.56,30.6,8.74,0,3.28,83.06,10.93,1.09,2.19,0,1.09,36.06,10.93,4.37,3.28,93.98,1.09,22.95,5.46,0,3.28,554.07,0,1.09,0,5.46,2.19,1.09,21.86,0,7.65
108-118,0,0,0,0,51.32,5.36,0,56.68,0.77,10.72,2.3,19.92,18.38,0,0.77,66.64,16.85,3.06,0.77,3.06,0,26.81,7.66,0.77,0.77,98.04,0,8.43,4.6,0,1.53,381.45,0,4.6,0,6.89,1.53,1.53,15.32,3.06,4.6
120,0,0,0,0,31.36,5.88,0,37.24,0,11.76,1.96,11.76,23.52,0,1.96,86.23,3.92,3.92,1.96,0,5.88,19.6,5.88,3.92,1.96,72.51,0,9.8,0,0,0,276.33,0,0,0,0,0,1.96,7.84,0,1.96
