stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,liver,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,10.51,5.26,0,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,44.06,6.29,0,0,3.15,0,0
 14-21,0,2,1,0,0,0,0,1,12,0,0,1,0,6,2
 24-34,0,0,0.82,0,0,0,0,0,8.21,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,1.61,0,7.25,0,0.81,0,0,0,0.81
 48-58,0,0,2.3,0.57,0.57,0,0.57,0.57,2.87,0,0,0,0,0,0.57
 60-70,0,0,0.98,0,0,0,2.94,0,5.89,0,0,0,0,0,0
 72-82,0,0.98,0,0,0,0,1.96,0,0.98,0,0,0,0,0,0
 84-94,0,1.06,0,0,0,0,0,1.06,2.12,0,0,0,0,0,0
 96-106,0,2.19,0,0,0,0,1.09,0,2.19,0,1.09,0,0,0,0
108-118,0,0,0,0,0,0,1.53,0,4.6,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0
