stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15,2,0,0,2,0,0,0,13,9,0,0,0,0
 24-34,0,1.64,4.1,0.82,0,0,0,0,0,1.64,1.64,0,0,0,0,0,0,0,2.46,0,0.82,68.95,0,1.64,0,0,0,0,0,0.82,32.01,0,0,0,0
 36-46,0,0.81,0,0.81,0,0,1.61,0,0,8.06,0,0,0,0,0,0,0,0.81,1.61,0,0.81,183.69,0,0,1.61,0,0,2.42,0,0,36.26,0,0,0,0
 48-58,0,0.57,0,0.57,0,0,6.31,0,0,24.67,0,0.57,0,0,0,0.57,0,0,4.59,0,0,263.38,0,0.57,4.02,0,0,5.16,0,0,40.17,0,0,0,0
 60-70,0,0,0,1.96,0,0,33.37,0.98,0,78.52,0.98,0,0,0,0,0,0,0.98,10.8,0,0.98,591.86,0,0,4.91,0,0,0.98,1.96,0,56.93,0,0.98,0,0
 72-82,0,1.96,0,6.87,1.96,0,84.42,0,1.96,109.95,1.96,0,0,0,0,0,0,0,26.5,0,0,834.41,0,1.96,20.61,0,0,0.98,2.94,0,50.06,0,0,0.98,1.96
 84-94,0,2.12,0,3.19,1.06,0,78.59,2.12,0,73.28,0,0,0,1.06,0,2.12,0,0,10.62,1.06,3.19,508.72,0,4.25,16.99,0,0,4.25,0,0,39.3,0,1.06,1.06,2.12
 96-106,0,1.09,0,12.02,4.37,0,106.01,6.56,0,73.22,1.09,0,3.28,0,0,2.19,2.19,0,20.76,0,2.19,502.71,0,1.09,32.79,0,0,5.46,1.09,0,22.95,0,1.09,0,6.56
108-118,0,4.6,0,4.6,0.77,0,85.79,2.3,0,69.7,0.77,0,0,0,1.53,3.06,0.77,0,11.49,0.77,3.83,540,0,3.83,24.51,0,0.77,2.3,1.53,0,16.09,1.53,0,4.6,3.06
120,0,1.96,0,13.72,0,1.96,88.19,11.76,3.92,84.27,0,0,0,0,0,5.88,0,0,23.52,0,1.96,644.77,0,3.92,25.48,0,0,0,0,0,19.6,0,0,1.96,13.72
