stage,blastomeres,eye,glial,mesenchyme,mural_cell,neural,olfactory,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord
  3-4,13.18,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,13.14,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,15.73,0,3.15,0,3.15,0,0
 14-21,0,2,0,0,0,4,0,0,0,0,1,0
 24-34,0,0.82,0,0,0,3.28,0,0,0,0,0,0
 36-46,0,0,0,0,0,3.22,0.81,0,0,0,0,0
 48-58,0,1.15,0,0,0.57,4.59,0,0,0,0,0,0.57
 60-70,0,0.98,0,0,0,1.96,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,3.93,0,0,0,0,0,0.98
 84-94,0,2.12,1.06,0,0,1.06,0,0,0,0,0,0
 96-106,0,1.09,0,0,0,1.09,1.09,0,0,0,0,0
108-118,0,0,1.53,0,0,1.53,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0,0,0
