stage,blastomeres,epidermis,erythrocytes,eye,glial,liver,melanocytes,mesenchyme,mural_cell,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,6.57,0,0,4.1,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,8.06,0,0,0.81,0,0,0,0.81,0
 48-58,0,0,0,0.57,0,0,10.9,0,0,4.59,0,0,0.57,0,0
 60-70,0,0,4.91,0,0.98,0,0.98,2.94,0,3.93,0,0,0,0,0
 72-82,0,0,0.98,0,0.98,0,4.91,5.89,0,5.89,0,0,0.98,0,0
 84-94,0,0,1.06,4.25,0,0,1.06,11.68,0,4.25,0,0,0,0,0
 96-106,0,0,0,2.19,1.09,0,2.19,4.37,1.09,3.28,0,0,1.09,0,0
108-118,0,0.77,0,0.77,0,0,1.53,9.19,0,4.6,0,0,0,0,0.77
120,0,0,0,1.96,0,1.96,1.96,9.8,0,1.96,0,0,0,0,0
