stage,endoderm,eye,glial,immune,lateral_line,liver,mesenchyme,mucous,neural,olfactory,periderm,visceral_smooth_muscle
 14-21,0,0,0,1,0,0,0,0,0,0,0,0
 24-34,0,0,0,3.28,0,0,0,0,0,0,0,0
 36-46,0,0,0,14.5,0,0,0,0,0.81,0.81,0,0
 48-58,0,0,0,12.05,0,0,0,0.57,0.57,0,0,0
 60-70,0,0,0,16.69,0,0,0.98,0,0,0,0,0
 72-82,0,0.98,0.98,33.38,0,0,0.98,0,2.94,0,0,0
 84-94,0,0,0,18.05,0,1.06,2.12,0,0,0,0,1.06
 96-106,0,0,0,43.71,1.09,0,1.09,0,0,0,1.09,0
108-118,0.77,0,0,29.11,0,0.77,0.77,0,1.53,0,0,2.3
120,0,0,0,21.56,1.96,0,0,0,1.96,0,1.96,0
