stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,421.69,8354.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395.34,0,0,0,0,0,0,0,0,0,0
  5-6,539.41,8287.27,0,12.26,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,183.89,42.91,0,0,85.81,0,177.76,0,0,0,0,0,0,0,0,0,0
  7-9,78.86,139.32,0,115.66,0,0,378.53,0,0,0,0,0,73.6,0,0,0,0,0,0,0,0,0,0,0,4692.25,78.86,0,0,1377.45,0,18.4,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,50.35,0,69.23,0,6.29,154.2,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,2029.8,56.65,0,0,667.16,0,9.44,3.15,3.15,66.09,0,6.29,3.15,0,0,0,0
 14-21,0,0,0,18,169,101,9,0,0,0,19,9,1,2,0,1,0,0,0,0,80,0,0,127,259,3,3,5,5,0,6,0,141,20,22,208,119,0,0,47,0
 24-34,0,0,0.82,9.03,22.16,9.85,32.01,0,0.82,0,6.57,4.1,0.82,4.1,0,0,0,0,3.28,0,125.59,0,0,95.22,287.3,1.64,9.03,3.28,0,0,0,0,0,22.98,0,22.98,68.13,0,0,187.16,0.82
 36-46,0,0,0.81,0,4.03,0.81,64.45,0.81,0,3.22,8.86,0,0,1.61,0,0,0,0,1.61,0.81,104.74,0.81,2.42,45.92,310.99,2.42,8.86,0,0,0,0.81,0,0,16.92,0,0,58.01,0,0.81,110.38,3.22
 48-58,0,0,0.57,0.57,2.87,0,70.58,0,1.72,2.87,12.62,0.57,0,1.15,0,0,0,0.57,0,0,43.61,0,0.57,14.92,169.27,0.57,2.87,1.72,0,0,0.57,0,0,9.18,0,0,29.26,0,0,46.48,0.57
 60-70,0,0,0,0,0.98,0,80.48,0,0.98,0.98,12.76,0,0,0.98,0,0,0,0,0.98,0,25.52,0,0,7.85,192.38,0.98,7.85,0.98,0,0,1.96,0,0,4.91,0,0,14.72,0.98,0,21.59,0
 72-82,0,0,0,0,2.94,0,60.86,0,0.98,3.93,2.94,0,0,0,0,0,1.96,0,0,0,52.03,0,0,5.89,145.29,1.96,3.93,2.94,0,0,0.98,0,0,4.91,0,0,15.71,0.98,0,38.28,0.98
 84-94,0,0,1.06,1.06,8.5,0,57.35,0,3.19,5.31,4.25,0,0,0,1.06,0,0,1.06,1.06,0,44.61,1.06,2.12,3.19,63.72,1.06,6.37,2.12,0,1.06,3.19,0,0,3.19,0,0,6.37,0,0,24.43,1.06
 96-106,0,0,0,0,4.37,0,31.69,0,3.28,1.09,5.46,0,0,0,0,0,2.19,1.09,0,0,24.04,0,0,4.37,54.64,0,5.46,2.19,0,0,0,0,0,0,0,0,3.28,0,0,31.69,0
108-118,0,0,0,0,8.43,0,35.23,0,5.36,3.06,6.89,0.77,0,0,1.53,0,1.53,1.53,0,0,32.94,0,0.77,2.3,81.96,1.53,5.36,1.53,0,0,0.77,0,0,4.6,0,0,3.06,0,0.77,26.04,0.77
120,0,0,0,0,13.72,0,39.2,0,3.92,1.96,0,0,0,1.96,0,1.96,0,1.96,1.96,0,25.48,0,1.96,1.96,103.87,1.96,5.88,0,0,0,1.96,0,0,5.88,0,0,5.88,0,1.96,19.6,0
