stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,408.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,349.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,15.77,0,0,28.92,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,139.32,0,0,0,44.69,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,3.15,53.5,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,210.85,3.15,0,0,88.12,0,0,0,0,9.44,0,6.29,0,0,0,0,0
 14-21,0,0,1,0,6,4,0,0,0,0,49,0,0,0,0,0,0,1,0,6,0,0,25,3,3,20,5,0,0,0,2,62,5,141,0,0,0,0,0
 24-34,0,0,0,0.82,1.64,0,3.28,0,0,0,55.82,0,0,0,0,0,1.64,0.82,0,2.46,0,3.28,63.21,1.64,37.76,13.13,0,0,0,0,0,32.83,0.82,88.65,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,4.03,0,0,0,18.53,0,0,0,0,0,0.81,0,0,2.42,0,0.81,108.77,0.81,34.64,5.64,0,0,0,0,0,10.47,0,40.28,0,0,1.61,0,0
 48-58,0,0,0,0,1.15,0,21.23,0,0,0.57,26.4,0.57,0,0,0.57,0,2.87,0.57,0,8.03,0.57,2.3,176.73,0,32.13,10.33,0,0,0,0,0,7.46,0,49.35,0,0,0.57,0,0.57
 60-70,0,0,0,0,2.94,0,40.24,0,1.96,1.96,27.48,0.98,0.98,0.98,0,0.98,7.85,0.98,1.96,11.78,0,2.94,364.14,0.98,37.3,26.5,0,0.98,1.96,0,0,5.89,0,34.35,0,0,0,0,0.98
 72-82,0,0,1.96,0,5.89,2.94,141.36,0,0.98,5.89,50.06,2.94,0,0,0.98,0.98,23.56,0,0.98,63.81,0.98,3.93,677.35,0.98,63.81,55.95,0,0.98,5.89,0,0,4.91,0,50.06,1.96,0.98,1.96,0.98,9.82
 84-94,0,0,1.06,1.06,9.56,1.06,78.59,1.06,0,1.06,33.99,1.06,0,1.06,0,0,37.17,0,0,25.49,1.06,1.06,403.57,0,60.54,71.16,0,0,4.25,0,0,12.74,0,22.3,0,1.06,2.12,0,0
 96-106,0,0,2.19,1.09,10.93,13.11,111.47,0,1.09,0,54.64,2.19,0,0,3.28,0,64.48,1.09,0,26.23,1.09,3.28,397.8,1.09,89.61,85.24,0,1.09,10.93,0,0,12.02,0,26.23,1.09,0,1.09,1.09,5.46
108-118,0,0,1.53,0.77,12.26,6.89,68.17,0,0.77,1.53,34.47,1.53,0,0,0.77,0.77,36,2.3,0,23.74,1.53,1.53,498.64,0,49.79,61.28,0,0.77,5.36,0,0,8.43,0,10.72,0,0,0.77,1.53,0
120,0,0,0,0,3.92,1.96,76.43,0,0,1.96,25.48,5.88,0,0,3.92,1.96,35.28,1.96,1.96,23.52,1.96,3.92,662.41,1.96,35.28,70.55,0,0,11.76,0,0,5.88,0,19.6,0,1.96,3.92,1.96,0
