stage,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
 14-21,2,5,2,4,0,2,0,0,0,0,0,9,0,0,6,61,5,0,1,1,1,12,0,4,20,2,0
 24-34,0,0,0,27.09,0,6.57,0,0,0,0,0.82,16.42,0.82,0,3.28,165.81,0,0,0,0,1.64,0,0,1.64,29.55,1.64,0
 36-46,0,1.61,1.61,88.62,0.81,4.03,0,0,0,0,0,12.09,0,0,1.61,160.33,0,0.81,0,0,0,0,1.61,0,37.06,1.61,0
 48-58,0,0,0,67.14,0,3.44,0,0,0,0,0,12.62,0,0,2.87,51.64,0,0,0,0,1.15,0,0,0,5.74,0,1.15
 60-70,0,0.98,0,75.58,0,5.89,0,0,0.98,0,0.98,11.78,0,2.94,0.98,51.04,0,0,0.98,0,0,0,0,0,2.94,0.98,0
 72-82,0,1.96,0,16.69,0,1.96,0.98,0.98,0,0.98,0,11.78,0,0,0.98,13.74,0,0,0,0,0.98,0,0,0,0.98,0,0
 84-94,0,1.06,0,24.43,0,4.25,2.12,0,0,0,0,9.56,0,0,4.25,15.93,0,0,0,0,0,0,0,0,1.06,2.12,0
 96-106,0,2.19,0,7.65,0,2.19,0,0,0,0,0,2.19,0,0,2.19,8.74,0,1.09,0,0,0,0,0,0,0,3.28,1.09
108-118,0,0,1.53,13.79,0,2.3,0.77,0,0,0,0,1.53,0,0,0,9.96,0,0,0,0,0,0,0,0,0,0.77,0
120,0,0,7.84,19.6,0,1.96,1.96,0,1.96,0,0,3.92,0,0,0,25.48,0,0,0,0,0,0,0,0,0,0,0
