stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,immune,ionocyte,iridophores,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,18.4,0,7.89,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,122.73,6.29,34.62,0,6.29,3.15,0,0,0
 24-34,0,0,0.82,0,0,0,0,0.82,0,0,0,0.82,0,0,0,0,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,0.81,0.81,0,0,0,0,0,0,0,0
 48-58,0,0,0.57,0,0.57,0,0,0,0,0,0,2.87,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,2.94,0,0,0,0,0,0,0.98,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,0.98,0,0,0,0.98,0,0,0,0,1.96,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,1.06,0,0,0,0,1.06
 96-106,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0.77,1.53,0,0,0,0.77,0.77,0,1.53,0,0,0,0,0,0,0,0.77
120,0,0,1.96,0,0,0,1.96,0,0,1.96,0,1.96,0,0,1.96,0,0,1.96,1.96,0
