stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.82,0.82,0,0,0,0.82,0,0,0,0,0,9.03,0,0,0,0.82,0,0,0,0.82,0,0,0,1.64,0.82,0,3.28,0,0,0,0,0
 36-46,0,0,0.81,0,3.22,0,0,0,0,0.81,0,0,2.42,0,0,0,5.64,2.42,0,0,7.25,0,0,0,6.45,0.81,0,10.47,0,0,0,0,0.81
 48-58,0,0,0.57,0,2.87,0,0,0,0,0.57,0,0,0,0,0,0.57,4.02,0.57,0,0,2.87,0,0,0,1.15,0,0,3.44,0,0,0,0,0
 60-70,0,0,0.98,0,2.94,0,0,0.98,2.94,1.96,0,0,0.98,0,0.98,0,9.82,0,0,0,1.96,0,0.98,0,3.93,0.98,0,0.98,0,0.98,0,0.98,0.98
 72-82,0.98,0,0.98,0,1.96,0,0,0,5.89,4.91,0,0.98,0.98,0.98,0,2.94,7.85,0.98,0,0.98,1.96,0,1.96,0,0.98,0.98,0,0,0,1.96,0.98,1.96,0
 84-94,1.06,0,2.12,2.12,2.12,0,0,0,5.31,9.56,0,1.06,3.19,1.06,0,7.43,10.62,2.12,1.06,2.12,1.06,0,3.19,0,8.5,2.12,0,1.06,0,1.06,0,2.12,0
 96-106,0,0,2.19,2.19,3.28,0,0,1.09,3.28,13.11,1.09,0,4.37,1.09,0,9.84,10.93,1.09,0,1.09,7.65,0,1.09,0,3.28,3.28,0,1.09,3.28,1.09,1.09,6.56,2.19
108-118,0.77,0,2.3,0,2.3,0,0,0,2.3,19.15,0,0,2.3,0,0.77,29.87,13.02,0,0,0,8.43,0.77,2.3,0.77,2.3,2.3,0.77,0,3.06,0,0,2.3,0
120,0,0,0,0,1.96,1.96,0,0,0,15.68,0,0,5.88,0,0,21.56,7.84,0,1.96,0,1.96,0,0,0,1.96,3.92,0,0,0,0,1.96,1.96,0
