stage,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,pronephros,spinal_cord,visceral_smooth_muscle
 14-21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0.82,0,0,0.82,0,0,9.85,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,2.42,0,0,10.47,0,0,0.81,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.57,3.44,0,0,6.89,0,0,0,0
 60-70,0,1.96,0,0.98,0,0,0,0,0.98,0,0,3.93,0,0,8.83,0,0,0,0
 72-82,1.96,0,0,0,0.98,0,0,0.98,0,0.98,0,0,0,0,12.76,0,0,0.98,0
 84-94,1.06,0,0,1.06,0,0,0,0,0,1.06,0,2.12,0,0,47.79,0,0,0,0
 96-106,1.09,1.09,1.09,1.09,0,0,1.09,0,1.09,0,0,3.28,0,0,49.18,0,0,0,1.09
108-118,2.3,0,0,1.53,0.77,2.3,0.77,0,0,0,0,3.06,0.77,0.77,26.04,0,0.77,0.77,0
120,3.92,0,0,1.96,0,1.96,0,0,0,0,0,1.96,0,0,58.79,0,0,0,0
