stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,606.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,3.15,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,8,2,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,4,14,0,2,0,0,0,3,0,6,1,16,52,13,0,0,1,0,0
 24-34,0,0,0,3.28,0.82,0,4.1,3.28,0,0.82,1.64,0,0,0,0,1.64,0.82,0.82,0,0.82,0.82,0.82,0,7.39,46.79,0.82,22.16,0,0,0,8.21,0,0,1.64,4.93,18.88,29.55,0,0,6.57,0,1.64
 36-46,0,0,0.81,0.81,1.61,0,7.25,9.67,1.61,0,2.42,0,0,1.61,1.61,1.61,0,0.81,0,1.61,5.64,0,0,9.67,57.2,0.81,31.42,1.61,0,0.81,13.7,0,0,0.81,4.03,0.81,39.48,0,0,3.22,0,0.81
 48-58,0,0,0,2.87,0,0,16.64,17.21,0.57,1.72,5.16,0.57,0.57,0.57,1.15,0.57,0.57,1.72,0,0.57,7.46,0.57,0,8.61,52.79,0.57,18.94,1.15,0,0.57,15.49,0,0,0,8.61,0,25.82,0,0,2.87,0,2.87
 60-70,0,0,2.94,10.8,2.94,0,64.78,14.72,0.98,6.87,19.63,0,0.98,0.98,5.89,2.94,0.98,0.98,0.98,0,23.56,0,1.96,7.85,89.32,0,22.58,0.98,0,0,25.52,0,0,1.96,7.85,0,21.59,0,0.98,8.83,0.98,1.96
 72-82,0,0,3.93,7.85,1.96,0,100.13,7.85,0.98,5.89,26.5,1.96,0,0.98,5.89,3.93,1.96,2.94,0.98,1.96,38.28,0.98,0.98,7.85,108.96,2.94,45.16,4.91,0,0,38.28,0,0,0,1.96,0,10.8,4.91,0.98,9.82,2.94,0
 84-94,0,0,2.12,13.81,5.31,0,66.91,2.12,2.12,3.19,13.81,5.31,0,0,9.56,4.25,2.12,0,0,1.06,38.23,0,0,10.62,41.42,3.19,27.61,9.56,0,0,127.44,1.06,0,2.12,5.31,0,5.31,7.43,1.06,8.5,2.12,1.06
 96-106,0,0,2.19,33.88,5.46,0,60.11,6.56,3.28,1.09,19.67,12.02,0,1.09,17.49,6.56,3.28,0,3.28,2.19,45.9,1.09,4.37,10.93,57.92,0,50.27,8.74,1.09,2.19,109.28,1.09,0,1.09,5.46,0,5.46,16.39,2.19,14.21,5.46,1.09
108-118,0,0,2.3,47.49,6.89,6.13,59.75,8.43,10.72,2.3,19.15,13.02,0,2.3,13.79,8.43,3.06,3.83,1.53,1.53,41.36,2.3,1.53,10.72,65.87,2.3,26.81,3.83,0,0.77,150.13,0,0,1.53,9.19,0,3.83,19.15,2.3,10.72,3.06,3.83
120,0,0,1.96,47.03,5.88,0,45.08,9.8,13.72,0,1.96,11.76,0,0,25.48,11.76,3.92,1.96,5.88,0,39.2,1.96,0,17.64,66.63,9.8,13.72,3.92,0,0,133.27,0,0,1.96,3.92,0,3.92,7.84,0,13.72,0,1.96
