stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0
 24-34,0,0,0,0,0,1.64,0,0,0,0,0,0,0,2.46,0,0,0,0.82,7.39,0,0.82,0,1.64,0,0
 36-46,0,0,0,0,0,0,0,0.81,0.81,0,1.61,0,0,4.03,0,0,0,0.81,10.47,0,0.81,0.81,0.81,0,0
 48-58,0,0,0,0.57,0,2.3,1.15,0,0.57,0,1.15,0,1.15,2.3,1.15,0,0,0,12.62,0,0,4.59,1.72,0.57,0
 60-70,0,0,0,0,0,0.98,0.98,0,0.98,0,1.96,0,3.93,16.69,3.93,0,0,0,7.85,0,0,0.98,0.98,0,0
 72-82,0,0,0,0,0,5.89,0,0,0.98,0.98,2.94,0,0,52.03,2.94,0,0,0,9.82,0,0,2.94,1.96,0,0.98
 84-94,0,2.12,0,0,0,3.19,0,0,0,0,4.25,0,0,159.31,3.19,1.06,0,0,8.5,0,1.06,5.31,1.06,0,0
 96-106,0,5.46,0,2.19,2.19,4.37,0,0,1.09,7.65,4.37,1.09,0,352.99,2.19,0,1.09,0,50.27,0,1.09,1.09,0,0,0
108-118,0,2.3,0,3.06,2.3,3.06,0.77,0,3.06,0.77,3.83,0,0,615.07,5.36,0,0,0,25.28,0,5.36,4.6,0,0.77,0.77
120,0,0,0,1.96,0,3.92,0,0,1.96,0,7.84,0,0,393.92,7.84,0,0,0,23.52,0,0,0,0,1.96,1.96
