stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,7.89,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,6.29,0,3.15,0,22.03,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,66.09,9.44,0,0,50.35,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,2,1,81,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,68,1,3,0,0,0,3,1,11,0,1,120,0,0,0,0,0
 24-34,0,4.93,0,38.58,0,0,4.1,0,0,0,1.64,0,0,0,0,0,0,0,0,5.75,5.75,0,0,3.28,566.39,3.28,30.37,4.1,0,0,16.42,0,0,0,3.28,256.11,0,0,0.82,0,0.82
 36-46,0,4.83,0,7.25,0,0,33.03,0,0.81,0,4.83,0,0,0,0,0,0,0.81,0,0.81,10.47,0,0,2.42,1670.96,4.03,50.76,3.22,0,0,4.83,0,0,0,0,388.33,0,0,1.61,0,0
 48-58,0,2.3,0,9.18,0,0,158.37,0,0,1.15,11.48,0,0,0.57,1.15,0.57,0,2.3,0.57,1.72,21.23,0.57,0,3.44,1925.69,1.15,34.43,4.59,0,0,6.89,0,0.57,0,0,375.27,0,0,0.57,0,0
 60-70,0,3.93,0,11.78,0.98,0,706.7,0,0,1.96,35.33,1.96,0,0.98,0,0,0.98,3.93,0,0,54.97,0,1.96,5.89,3349.93,0.98,39.26,10.8,0,0,7.85,0,1.96,0,0,493.71,0,0,0.98,0.98,0.98
 72-82,0,18.65,0,26.5,5.89,0,1414.57,0,0,3.93,62.83,5.89,0,0,1.96,0,4.91,3.93,0,0.98,54.97,0,3.93,4.91,2981.31,2.94,57.92,15.71,0,0,1.96,0,0,0,0,301.37,1.96,1.96,5.89,1.96,3.93
 84-94,0,5.31,0,37.17,8.5,0,1126.82,1.06,3.19,2.12,47.79,11.68,0,1.06,3.19,4.25,3.19,6.37,0,1.06,47.79,0,1.06,4.25,1570.75,1.06,75.4,26.55,0,0,10.62,0,1.06,0,0,163.55,1.06,3.19,5.31,1.06,3.19
 96-106,0,12.02,0,27.32,10.93,0,979.19,1.09,3.28,2.19,56.83,15.3,0,0,6.56,2.19,0,15.3,0,0,43.71,1.09,2.19,12.02,1326.72,2.19,87.43,33.88,0,1.09,7.65,0,1.09,4.37,0,78.68,3.28,1.09,1.09,1.09,5.46
108-118,0,6.13,0,22.21,2.3,0.77,764.43,0.77,2.3,1.53,46.72,9.19,0,0.77,0,0,0.77,6.89,0,0,33.7,0,1.53,3.83,1469.88,1.53,53.62,19.15,0,0,6.13,0,0,0,0,45.96,4.6,0,3.83,0.77,1.53
120,0,11.76,0,27.44,3.92,3.92,756.48,1.96,9.8,0,47.03,13.72,0,0,5.88,0,3.92,7.84,3.92,1.96,35.28,0,1.96,1.96,1873.56,1.96,48.99,27.44,0,1.96,9.8,0,1.96,0,0,86.23,1.96,1.96,5.88,0,0
