stage,blastomeres,endoderm,epidermis,eye,glial,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,spinal_cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,3.15,0,0,0,0,0,6.29,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,0,0,0,2.46,0,0,3.28,0
 36-46,0,0,0,1.61,0,0,0,4.03,0,0,12.09,0
 48-58,0,0,0,5.16,0,0,0,4.59,0,0,7.46,0
 60-70,0,0,0,24.54,0,0,0,8.83,0,0,12.76,0
 72-82,0,0,0,28.47,0,0.98,0,7.85,0,0.98,1.96,0
 84-94,0,0,0,9.56,1.06,0,0,7.43,0,0,2.12,0
 96-106,0,0,1.09,24.04,0,0,0,7.65,0,0,0,0
108-118,0,0,0,8.43,0,0,0,5.36,0,0,0.77,0
120,0,0,0,9.8,1.96,0,1.96,1.96,0,0,1.96,1.96
