stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,2.46,0.82,0,0,0.82,0,0,0,0,0,0.82,7.39,8.21,0,0,0,0,0,0.82,3.28,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0.81,0,15.31,16.11,0,0,0,0,0,0,16.11,0
 48-58,0,0,0,0,1.72,0,0.57,0,0,0,0,0,0,0.57,0,24.67,13.77,0,0,0,0,0,0,13.2,0
 60-70,0,0,0.98,0,19.63,0,0,0.98,0,0,0,0,0,0,0,44.17,18.65,0,0,0,0,0.98,0,5.89,0
 72-82,0.98,0,0.98,0,48.1,0,2.94,1.96,0,0,0,0.98,0,2.94,0,62.83,25.52,0.98,0,0,0,0,0,4.91,0
 84-94,0,0,0,0,29.74,0,0,2.12,0,0,0,0,0,2.12,0,47.79,18.05,0,0,0,2.12,0,0,4.25,0
 96-106,0,0,1.09,1.09,60.11,0,0,4.37,0,0,0,0,1.09,1.09,0,38.25,41.53,0,0,1.09,1.09,0,0,5.46,0
108-118,0,0,0.77,0,26.04,0,0,3.06,0,0.77,0.77,0,0,3.06,0.77,55.15,28.34,0,0,0,0.77,0,0,1.53,0.77
120,0,0,3.92,0,45.08,0,0,1.96,0,0,0,0,0,3.92,0,47.03,19.6,0,0,0,0,0,0,3.92,0
