stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,7.89,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,8,0,0,1,0,0,0,1,0,0,18,0,0
 24-34,0,0,0.82,0,0.82,0.82,0,0,0,0,0,0,0,0,0.82,48.43,0,0,0,0,0,0,0,0,0,30.37,0,0
 36-46,0,0,0,0,2.42,0,0,0,0,0,0,0,2.42,0,0.81,87.82,0,0,0,0,0,0,0,0,0,29,0,0
 48-58,0,0,0.57,0,36.15,0,0,1.15,0,0,0.57,0,2.3,0,1.15,114.76,0,0,0.57,0,0,0,0,0,0,14.35,0,0.57
 60-70,0,0.98,1.96,0,102.08,0,0.98,5.89,0,0,0,0,2.94,0,0.98,233.6,0.98,0,0.98,0,0,0,0,0.98,0,38.28,0.98,0
 72-82,0,0,1.96,0.98,87.37,0.98,0,18.65,0,0,0,0,3.93,0,0,201.24,0,0,0.98,0,0.98,0.98,0,0,0,16.69,0,0
 84-94,0,0,4.25,0,81.78,0,1.06,12.74,0,0,1.06,0,12.74,0,0,105.14,0,0,4.25,0,0,1.06,0,0,0,18.05,0,0
 96-106,0,0,2.19,2.19,52.46,0,1.09,6.56,0,1.09,1.09,0,5.46,0,0,81.96,0,1.09,4.37,0,0,1.09,0,0,0,5.46,0,1.09
108-118,0,0,2.3,0,50.55,1.53,0.77,10.72,0.77,0,0,0.77,5.36,0,0,97.28,0,0.77,1.53,0,0.77,0,0,0,0.77,7.66,0,0
120,0,0,1.96,0,45.08,0,0,13.72,0,0,0,0,1.96,1.96,1.96,121.51,0,0,1.96,0,0,1.96,0,0,0,3.92,0,0
