stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,34.17,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.26,3.15,0,0,701.77,0,0,0,18.88,15.73,0,12.59,0,0,0,0,0,0
 14-21,0,1,0,0,3,21,1,0,0,0,1,1,0,0,0,0,0,3,0,9,24,2,0,1,11,0,0,0,602,0,3,295,24,0,0,0,0,0
 24-34,0,0,0,0,0,1.64,1.64,0,0,0,0.82,0,0.82,0,0,0,0,7.39,0,4.93,68.13,0,1.64,0.82,0,0,0,0,0,0,0,4.93,13.13,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0.81,0,0.81,0,11.28,0,0.81,0,0,0,0,4.83,0,0,168.38,0,0.81,0,0,0,0,0,0,0,0,0,23.36,0,0,0,0,0
 48-58,0,0,0,0,0,0,12.62,0.57,0,0,25.82,0,0,0,0,0.57,0,5.74,0.57,1.15,225.51,0,0,0.57,0,0,1.15,0,0,0,0.57,0,36.15,0,0,0,0,0
 60-70,0,0,0,0,3.93,0,18.65,0,0,0.98,65.76,0,0,0,0,0,0.98,17.67,0.98,0.98,456.41,0,0,1.96,0,0,0.98,0,0,0,0,0,46.13,0,0,0,0.98,0
 72-82,0,0,0,0,1.96,0.98,23.56,0,0,0,54.97,1.96,0,0,0,0,0,41.23,0.98,1.96,559.55,0,0,0.98,0,0,0,0,0,0,0,0,36.32,0,0.98,0,0,0
 84-94,0,0,1.06,0,0,0,22.3,0,0,0,30.8,1.06,0,0,1.06,0,0,25.49,0,1.06,310.11,1.06,1.06,0,0,0,2.12,0,0,1.06,0,0,19.12,2.12,1.06,2.12,1.06,0
 96-106,0,0,1.09,0,1.09,1.09,28.41,0,0,0,26.23,1.09,1.09,0,0,0,0,39.34,0,0,266.65,1.09,2.19,0,0,1.09,1.09,0,0,0,0,0,16.39,0,0,0,0,0
108-118,0,0,0,0,1.53,0,14.55,0.77,0,0,22.98,1.53,0,0,0,0,0,24.51,0,0.77,223.66,0,0.77,0.77,0,0,0,0,0,0.77,0.77,0,7.66,0,0.77,0.77,0.77,0
120,0,0,0,0,3.92,0,21.56,0,1.96,0,33.32,1.96,0,1.96,0,0,0,23.52,0,0,327.28,0,0,0,0,0,0,0,0,0,0,0,17.64,0,0,0,0,1.96
