stage,axial,blastomeres,eye,fin_epithelia,glial,hatching_gland,heart,lateral_line,mesenchyme,neural,paraxial_mesoderm,periderm,spinal_cord
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,23.66,2.63,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,28.32,6.29,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,1,0
 24-34,0,0,0,0,0,0,0,0.82,0.82,3.28,0,0,0
 36-46,0,0,0.81,0,0,0,0.81,0,0.81,0.81,0,0,0
 48-58,0,0,0.57,0,0,0,0,0,0,3.44,0,0,2.3
 60-70,0,0,0.98,0,0.98,0,0,0,0,3.93,0,0,0
 72-82,0,0,0.98,0,0,0,0,0,0.98,4.91,0,0,0.98
 84-94,0,0,2.12,0,0,0,0,0,0,2.12,0,0,0
 96-106,0,0,0,0,0,0,0,0,2.19,3.28,0,0,0
108-118,0,0,0,0.77,0,0,0,0,0,1.53,0,0,0
120,0,0,1.96,0,0,0,0,0,1.96,5.88,0,0,0
