stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,11,0,0,0,5,1,0,0
 24-34,0,0,0,0.82,0,0,0.82,0,1.64,0,0,0,0,0,0,0,22.98,0,0.82,38.58,0,0,0,4.93,2.46,0,0
 36-46,0,0,0,0,0,0,0,0,1.61,0,0,0.81,0.81,0,0,0,8.06,0,0,35.45,0,0,0,5.64,0.81,0,0
 48-58,0,0,0.57,0,0.57,0,1.72,0.57,1.72,1.15,0,0.57,0,2.3,0,0,15.49,0,0,37.3,0,0,0.57,2.3,0.57,0,0
 60-70,0,0,0,0,0,0,0.98,0,6.87,0,0,0,0,0.98,0,0,21.59,0,2.94,45.15,0,0,0.98,0.98,0.98,0,0
 72-82,0,0,0,0,0,0,3.93,0,3.93,0,0,0,0,5.89,0,0,28.47,0,0,75.59,0.98,0,0,2.94,0,0,0.98
 84-94,0,0,0,0,0,0,4.25,0,2.12,0,0,0,0,1.06,0,0,12.74,0,2.12,82.84,0,0,0,1.06,0,0,0
 96-106,0,0,0,0,4.37,0,3.28,0,4.37,0,0,3.28,1.09,1.09,1.09,0,15.3,0,0,118.03,0,1.09,1.09,0,1.09,1.09,0
108-118,0,0,0,0,0.77,0.77,2.3,0,1.53,0,0,1.53,0,0,0,0.77,19.15,0.77,1.53,98.81,2.3,0,0,0,0,0,0
120,1.96,0,0,0,5.88,0,0,0,3.92,0,1.96,1.96,0,3.92,0,0,15.68,0,0,74.47,0,0,0,1.96,0,0,0
