stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,spinal_cord
  5-6,12.26,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,7.89,2.63,2.63,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.29,0,3.15,0,0
 14-21,0,0,1,0,0,0,1,0,0,0,3,0,0,1,1
 24-34,0,0,0,0,0,0.82,0,0,0.82,0.82,4.1,0,0,0.82,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0.81,0,0,0.81,0.81
 48-58,0,0,0,0,1.15,0.57,0,0.57,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0.98,0,0,1.96,0
 84-94,0,0,1.06,0,0,0,0,0,1.06,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,0,0,0,1.09,0,1.09,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0
120,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0,1.96,0
