stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,immune,liver,melanocytes,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,13.14,0,0,2.63,0,0,0,0,0,0,0,0,5.26,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,15.73,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,15,0,0,0,2,0,0,0,5,1,2,1,0,0,3,15,10,4,0,0,25,0
 24-34,0,0,0,0.82,0.82,2.46,0,0,4.93,0,0,0.82,13.13,2.46,18.88,0.82,0,0,0,0.82,2.46,0.82,0,0,58.28,0
 36-46,0,0,0,0,0,0,0,0,1.61,0,0,0,5.64,3.22,17.72,0,0,0,0,0,0,0.81,0,0,14.5,0
 48-58,0,0,0,0,0,1.72,0,0,0.57,0,0,0,5.74,0.57,3.44,0,0,0,0,0,0,0.57,0,0,2.87,0.57
 60-70,0,0,0,0,0,12.76,0.98,0.98,0.98,0,0,0,8.83,0,5.89,0,0,0,0,0,0,0,0,0.98,0.98,0
 72-82,0,0.98,0,0.98,0,117.8,0.98,0,0,0,0,0,17.67,0,4.91,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,77.53,1.06,0,0,0,0,0,11.68,1.06,3.19,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,4.37,0,334.41,1.09,0,0,0,1.09,1.09,6.56,0,2.19,1.09,0,1.09,0,1.09,0,1.09,0,0,1.09,0
108-118,0,0,0,0.77,0.77,255.07,0,0.77,0,0,0,0,9.96,2.3,6.89,0,0,0.77,0,0,0,0,0.77,0,0,0
120,0,0,0,3.92,0,339.04,0,0,0,1.96,0,0,9.8,0,9.8,0,0,0,0,0,0,0,0,0,0,0
