stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,6.29,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,9.03,0,0,0,0
 36-46,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,12.09,0,0.81,0,0
 48-58,0,0.57,0,0,0,0,1.15,0,0,0,0,0.57,0,0,0,0,0,0,4.02,0,0,0,0
 60-70,0,1.96,0,0,1.96,0,0.98,0,0,0,0,0,0,0,0,0,0.98,0,11.78,0,0,0,0
 72-82,0,2.94,1.96,0.98,0,0,0.98,0,0,0,0,0,0.98,2.94,0,0,1.96,0,4.91,0,0,0,0
 84-94,0,15.93,0,0,3.19,0,2.12,0,1.06,0,0,0,2.12,2.12,0,0,0,0,19.12,0,0,0,0
 96-106,0,15.3,0,1.09,2.19,0,3.28,0,1.09,0,1.09,0,0,0,0,0,1.09,0,17.49,0,0,1.09,0
108-118,0,19.92,0,0,2.3,0,3.06,0.77,2.3,0.77,0,1.53,3.06,0.77,0.77,0,0,0,15.32,0.77,0,0,0.77
120,0,29.4,0,0,3.92,1.96,7.84,3.92,0,0,0,0,5.88,1.96,0,0,0,0,19.6,0,0,0,0
