stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1,2,0,0,0,0,0
 24-34,0,0,0,0,41.04,0,0,0.82,0,0,0,0,0,0.82,0,0.82,0,19.7,0,1.64,0.82,0,0,8.21,0,0,1.64,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,64.45,0,0,0.81,0,6.45,0,0,0,0,0,0,0,20.95,0,0.81,0.81,0,0,6.45,0,0.81,2.42,0,0,0,3.22,0,0,0,0,0
 48-58,0,0,0,0,96.4,0,0,4.59,0,12.05,0,0.57,0,0,0,0,0,36.15,0.57,2.3,2.3,0,0.57,9.75,0,0.57,2.3,0,0.57,0,1.72,0,0.57,0,0,0
 60-70,0,0,0,0,166.86,0,0,4.91,0,16.69,0.98,1.96,0,0,0,1.96,0,49.08,0,6.87,1.96,0,0.98,16.69,0,1.96,2.94,0,0,0,0.98,3.93,0,0,0,0
 72-82,0,0,0,0,216.95,0,0,13.74,0,21.6,0,2.94,4.91,0,0,7.85,0,77.55,0.98,9.82,0.98,0,0,12.76,0,7.85,0.98,0,1.96,0,1.96,26.5,0,1.96,0,0.98
 84-94,0,0,0,0,383.4,1.06,0,9.56,1.06,40.36,1.06,3.19,6.37,0,1.06,9.56,0,98.77,1.06,9.56,0,0,0,9.56,0,10.62,1.06,0,2.12,0,1.06,120.01,0,0,0,0
 96-106,0,0,1.09,0,462.27,1.09,1.09,13.11,0,41.53,0,4.37,15.3,0,0,10.93,1.09,149.72,0,5.46,8.74,0,1.09,26.23,2.19,25.14,3.28,0,6.56,0,0,197.81,0,1.09,2.19,0
108-118,0.77,0,0,0,440.43,0.77,1.53,8.43,0,58.98,0.77,3.06,20.68,0,0,16.09,0,115.66,0.77,5.36,3.06,0.77,0,18.38,1.53,13.79,0.77,0,5.36,0,0,219.83,0,3.06,0.77,0
120,1.96,0,0,0,303.77,0,0,5.88,0,29.4,0,0,21.56,0,1.96,11.76,0,62.71,0,5.88,1.96,0,0,15.68,1.96,9.8,1.96,0,0,0,0,80.35,0,0,0,0
