stage,axial,blastomeres,endoderm,epidermis,eye,hatching_gland,heart,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,vasculature
  3-4,131.78,1041.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,67.43,711.04,0,0,0,12.26,0,0,0,0,12.26,6.13,0,0,0,0,0,0,0,0
  7-9,5.26,7.89,2.63,0,2.63,2.63,0,0,0,0,115.66,10.51,0,0,107.78,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,15.73,6.29,0,0,44.06,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
 24-34,0,0,0,0.82,0.82,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0.82,1.64
 36-46,0,0,0,0,0.81,0,0,0,0.81,0.81,4.03,0,0,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,0,0.57,0,0,0,1.15,0,0,0,0,0,0,0,1.15,0.57
 60-70,0,0,0,0,0,0,0,0,2.94,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,4.91,0,1.96,0,0,0.98,0,0.98,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,1.06,2.12,0,0,0,0,0,0,0,0,0,1.06,1.06
 96-106,0,0,0,0,0,0,1.09,0,2.19,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0.77
120,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0,1.96
