stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,spinal_cord,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,2,1,0,0,0,0,19,0
 24-34,0,0,0,0,0.82,0,0,1.64,0,0,1.64,0,0,0,0,0,0.82,0,0.82,58.28,0.82,0,0,0,0,0,0,0,15.6,0
 36-46,0,0,0,0,0.81,0.81,0,2.42,0,0,0.81,0,1.61,0,0,0,1.61,0,0,127.3,0,0,0,0,0,0,0,0,12.89,1.61
 48-58,0,0,0,0,1.15,0,0,10.33,0.57,0,2.3,0,0.57,0,0,0,2.3,0.57,0.57,168.12,0,0.57,0.57,0,0,0,0,0,12.05,0
 60-70,0,0,0,0,0.98,0,0,11.78,0,0.98,0.98,0,0,0,0,0,2.94,0,0.98,287.59,0,1.96,0,0,0,0,0,0.98,5.89,0.98
 72-82,0,0,0,0,4.91,0,0,22.58,0,0.98,16.69,1.96,0,0,0,0.98,7.85,0,2.94,520.28,0,0.98,0,0,0,0,0,0,11.78,0.98
 84-94,0,0,0,0,5.31,0,0,19.12,0,1.06,7.43,1.06,0,2.12,1.06,0,6.37,0,0,163.55,1.06,0,0,0,0,2.12,0,0,6.37,1.06
 96-106,0,0,0,0,1.09,1.09,0,15.3,1.09,0,9.84,0,0,0,0,0,5.46,0,3.28,218.57,0,2.19,0,0,0,1.09,1.09,0,7.65,2.19
108-118,0,0,0,0,3.06,0,0,13.79,1.53,0,13.02,0,0,0,0,0,3.83,0,0,253.53,0,0.77,1.53,0,0.77,1.53,0,0,3.06,1.53
120,0,0,0,0,1.96,0,1.96,9.8,1.96,0,11.76,0,0,1.96,0,0,1.96,0,1.96,301.81,0,5.88,0,0,0,0,0,0,7.84,1.96
