stage,endocrine_pancreas,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,liver,mesenchyme,mucous,neural,olfactory,periderm,somites,spinal_cord,vasculature
 14-21,0,3,0,0,0,0,0,0,3,0,1,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,1.64,0,18.06,0,0,0,1.64,0
 36-46,0,0,2.42,0,0,0,0.81,0,2.42,0,21.75,0,0,0,2.42,0
 48-58,0,0.57,9.75,0,0.57,0,0,0,8.61,0.57,23.53,0,0.57,0.57,2.87,0
 60-70,0,0,12.76,0,0,0.98,1.96,0,17.67,0,45.15,0.98,0,0,0,0
 72-82,0.98,0.98,22.58,0,0,0,1.96,0,20.61,0,53.99,0,0,0,1.96,0.98
 84-94,0,2.12,15.93,0,0,0,4.25,1.06,10.62,0,27.61,0,0,0,1.06,0
 96-106,0,1.09,14.21,0,0,0,2.19,0,9.84,0,26.23,1.09,0,0,3.28,0
108-118,0,0,11.49,0.77,0.77,0,0,0.77,7.66,0,30.64,0.77,0,0,0,0
120,0,1.96,9.8,0,0,0,3.92,0,3.92,0,39.2,0,0,0,1.96,0
