stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,1,0,1,0,0,0,1,0,0,2,0,0,2,0,0,2,0,0,2,187,0,0,6,0,0,2,0,4,0,0,3,5,0,0,0,0,0
 24-34,0,0,8.21,2.46,0,5.75,0,0.82,0.82,1.64,0.82,0,7.39,0.82,0,21.34,0,0,16.42,0,0,4.93,260.21,6.57,18.88,23.8,0,0,11.49,0,0,2.46,0,2.46,27.09,0,0,9.03,0,1.64
 36-46,0,0,10.47,0.81,0,12.09,6.45,2.42,0,3.22,0,2.42,4.83,0,0.81,14.5,0,0.81,24.98,0,0,17.72,174.83,2.42,10.47,9.67,0,0,24.17,0,0,1.61,0.81,0,20.95,0,0,10.47,0.81,0
 48-58,0,0,13.77,0.57,0,30.99,3.44,4.02,0.57,8.61,1.72,0.57,17.79,0.57,0,17.21,0.57,0,41.89,0.57,0,26.4,156.65,9.18,5.74,8.03,0,0,11.48,0,0,0.57,1.15,0,10.33,0,0,13.2,0,0
 60-70,0.98,0,22.58,8.83,0,55.95,2.94,4.91,2.94,17.67,1.96,0.98,54.97,0.98,0,23.56,0.98,2.94,68.71,0,0,21.59,173.73,6.87,2.94,3.93,0,0.98,22.58,0,0,2.94,1.96,0,7.85,2.94,0.98,15.7,0,1.96
 72-82,5.89,0,21.6,3.93,0,62.83,0.98,4.91,2.94,57.92,5.89,1.96,152.16,7.85,0.98,37.3,2.94,0.98,191.42,0,1.96,23.56,250.32,3.93,1.96,9.82,0,1.96,17.67,0,0,0.98,0,0,11.78,7.85,3.93,35.34,5.89,1.96
 84-94,1.06,0,20.18,0,0,37.17,0,1.06,3.19,55.23,9.56,2.12,176.3,4.25,2.12,44.61,1.06,4.25,86.03,1.06,2.12,13.81,141.25,0,4.25,10.62,0,1.06,15.93,0,0,0,0,0,4.25,79.65,1.06,25.49,1.06,1.06
 96-106,4.37,2.19,53.55,13.11,1.09,37.16,0,3.28,0,45.9,16.39,2.19,269.93,9.84,0,59.01,3.28,1.09,90.71,5.46,1.09,17.49,135.51,0,4.37,15.3,0,4.37,26.23,1.09,0,0,0,0,5.46,133.33,1.09,45.9,2.19,5.46
108-118,1.53,2.3,42.89,7.66,2.3,25.28,0.77,4.6,0.77,62.04,11.49,3.06,225.19,3.06,1.53,37.53,2.3,0,94.98,0.77,0,19.92,163.92,0.77,3.83,6.89,0,5.36,12.26,0,0,0.77,0,0,4.6,183.07,0,30.64,1.53,0
120,0,0,64.67,13.72,0,13.72,0,7.84,1.96,58.79,17.64,1.96,358.64,11.76,1.96,50.95,1.96,0,88.19,0,3.92,21.56,201.86,0,7.84,11.76,0,1.96,9.8,0,0,0,0,0,1.96,64.67,0,31.36,1.96,0
