stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0
 14-21,1,0,0,0,6,2,0,5,0,0,1,0,1,0,2,0,0,4,21,0,0,1,0,6,8,7,0
 24-34,0,0,0,0,0.82,0,0,4.93,0,0,1.64,0.82,0,0,4.1,0,0,0.82,33.66,0,0.82,0,0,0,1.64,5.75,0
 36-46,0,0,0,0,0.81,0,0,4.03,0,0,0,0,0,0,1.61,0,0,2.42,27.39,0,0.81,0,0,0,0,3.22,0
 48-58,0,0,0,0.57,0,0,0,9.18,0,0.57,0.57,0,0,1.15,2.3,0.57,0,1.72,17.79,0,0.57,0,0.57,0,0,2.87,0.57
 60-70,0,0,0,0,0.98,0,0,12.76,0,0,0.98,0.98,0,0,2.94,0,0,0,14.72,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,5.89,0,0,0.98,0,0,0,3.93,0.98,0,1.96,19.63,0,0,0,0,0,0,1.96,0
 84-94,0,0,1.06,0,0,0,0,2.12,1.06,0,3.19,0,0,0,3.19,0,0,2.12,9.56,0,1.06,0,0,0,0,2.12,0
 96-106,0,0,0,0,0,1.09,0,3.28,0,0,0,1.09,0,0,1.09,0,1.09,0,10.93,0,1.09,0,0,0,0,0,1.09
108-118,0,0,0,0,0,0,0.77,1.53,0,0,2.3,0,0,0.77,3.06,0,0,2.3,12.26,0,0.77,0,1.53,0,0,1.53,0
120,0,0,0,0,0,1.96,1.96,3.92,0,0,3.92,0,0,0,1.96,0,0,1.96,5.88,0,0,0,0,0,0,0,0
