stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,2.63,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,9.44,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,2,0,0,2,1,0,0,1,0,0
 24-34,0,0,0,0.82,1.64,0,0,0,0,0,0,0.82,1.64,0,0,19.7,0,9.03,4.1,0,0,0,0.82,0,0.82,1.64,0,0,0,9.03,0,0
 36-46,0,0,0,0,0,0.81,0,0,0.81,0,0,1.61,2.42,0.81,0,24.17,0.81,7.25,0.81,0,0,0,0.81,0,0,0,3.22,0,0.81,19.34,0,0
 48-58,0,0,0,0,0,1.15,0,0,0,0,0,3.44,4.59,0,0,23.53,0,8.03,5.16,0,0,0.57,0.57,0,0,0,0.57,0,0.57,22.38,0,0.57
 60-70,0,0,0,0.98,0,1.96,0,0,1.96,0,0,1.96,8.83,0,0.98,60.85,3.93,6.87,5.89,0,0,0,0,0,0,0,0,0,1.96,25.52,0.98,1.96
 72-82,0,0,0,0.98,0,4.91,0,0,2.94,0.98,0.98,4.91,10.8,0.98,0,120.74,1.96,12.76,3.93,0,0,4.91,0,0,0,0,0,0,3.93,62.83,9.82,0
 84-94,0,0,0,0,0,8.5,0,0,2.12,0,0,1.06,23.36,0,1.06,62.66,8.5,5.31,3.19,0,0,2.12,0,0,0,0,0,0,3.19,41.42,9.56,0
 96-106,0,0,0,0,1.09,6.56,0,1.09,2.19,1.09,0,13.11,27.32,0,1.09,114.75,8.74,6.56,7.65,0,0,6.56,4.37,0,0,0,1.09,0,2.19,73.22,10.93,0
108-118,0,0,0,0.77,1.53,3.83,0.77,0,3.83,0,0.77,1.53,17.62,0,1.53,114.89,2.3,5.36,4.6,0,0,6.89,1.53,0,0,0,0.77,0.77,0.77,51.32,11.49,0
120,0,0,0,1.96,1.96,1.96,0,0,5.88,1.96,0,1.96,39.2,0,0,123.47,3.92,1.96,5.88,3.92,0,11.76,3.92,0,0,0,0,0,5.88,48.99,15.68,0
