stage,epidermis,erythrocytes,eye,glial,mesenchyme,mucous,neural,olfactory,otic,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,0,0,0,0,0,0,0,0,1,2,0,0,0
 24-34,0,0,1.64,0.82,0,0,1.64,0,0,0,8.21,0,0,0
 36-46,0,0,0,0,0,0,1.61,0.81,0,0,8.06,0,0,0
 48-58,0,0,2.3,2.87,0,0,2.87,0,0.57,0.57,8.61,0,0,0
 60-70,0,0,3.93,0.98,0,0,5.89,0,0,0.98,3.93,0,0,0
 72-82,0,0.98,4.91,5.89,1.96,0,8.83,0,0,0,6.87,0.98,0,1.96
 84-94,0,0,5.31,2.12,0,0,2.12,0,0,1.06,7.43,1.06,1.06,0
 96-106,0,0,6.56,1.09,1.09,0,2.19,0,0,0,6.56,1.09,0,1.09
108-118,0,0,4.6,2.3,0,0,3.06,0,0.77,0.77,0,0,0,0
120,1.96,0,0,3.92,0,1.96,7.84,0,0,0,0,0,0,0
