stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,118.6,2503.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,410.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,5.26,0,13.14,0,0,0,7.89,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,49.95,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,119.58,6.29,0,0,6.29,0,0,3.15,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,2,7,85,6,0,131,0,2,0,5,26,0,0,0,4,0,0,0,0,26,0,0,22,581,2,1,1,2,0,1,0,21,1,7,125,0,0,0,0,0
 24-34,0.82,0,0.82,9.85,54.18,0.82,0,432.59,0,12.31,0.82,20.52,13.13,0,2.46,0,1.64,0,0.82,0.82,0,63.21,0,0,35.3,1861.7,0,5.75,4.1,0.82,0,2.46,0,15.6,0,2.46,256.93,0,0,4.1,0,0
 36-46,0,0,0,0.81,25.78,0,0,760.55,0,9.67,2.42,116.82,4.03,0,1.61,0,0,0,0,0,0.81,99.1,0,3.22,34.64,1977.11,0.81,6.45,7.25,0,0,3.22,0,6.45,0,0.81,323.07,0,0,2.42,0,0
 48-58,0,0,0,0,29.26,0,0,955.39,0.57,10.9,4.02,238.7,3.44,0,4.02,0,0.57,0,2.3,0.57,0,188.78,0.57,1.72,41.89,1757.56,0.57,4.59,4.59,0,0.57,2.3,0,4.02,0,0,288.62,0,0,0.57,0,2.3
 60-70,0,0,0,0,27.48,0.98,0,1055.14,3.93,8.83,1.96,232.62,4.91,0.98,0,1.96,1.96,4.91,1.96,2.94,0,253.23,1.96,0.98,22.58,1749.07,0.98,2.94,6.87,0,0,5.89,0,2.94,0.98,0,152.14,2.94,0.98,1.96,0,1.96
 72-82,0,0,1.96,0,37.3,2.94,0,875.64,2.94,10.8,4.91,224.8,2.94,0,2.94,0,5.89,5.89,5.89,0,0,314.13,0,5.89,23.56,1460.71,0,0.98,10.8,0,1.96,1.96,0,5.89,0.98,0,93.26,7.85,4.91,3.93,9.82,3.93
 84-94,0,0,5.31,1.06,39.3,4.25,0,558.63,7.43,23.36,11.68,138.06,7.43,0,1.06,1.06,5.31,10.62,2.12,1.06,2.12,219.84,0,5.31,18.05,676.52,0,1.06,6.37,0,0,5.31,0,7.43,0,0,43.54,4.25,1.06,5.31,7.43,0
 96-106,0,0,3.28,2.19,25.14,2.19,0,403.26,5.46,10.93,6.56,137.7,4.37,0,2.19,2.19,8.74,0,4.37,2.19,0,171.58,1.09,5.46,13.11,580.3,1.09,3.28,6.56,0,0,9.84,0,3.28,1.09,0,22.95,4.37,1.09,6.56,4.37,2.19
108-118,0,0,0.77,0,29.87,4.6,0.77,314.81,2.3,20.68,3.83,111.83,3.83,0,1.53,3.06,5.36,6.89,3.06,1.53,0.77,139.41,0.77,0.77,15.32,649.54,1.53,3.06,13.79,0,0,4.6,0,6.13,0,0,9.96,3.83,0.77,1.53,6.13,0
120,0,0,0,0,33.32,5.88,1.96,307.69,7.84,21.56,11.76,137.18,7.84,0,0,0,1.96,5.88,5.88,1.96,0,135.23,0,0,9.8,750.6,1.96,1.96,13.72,0,1.96,7.84,0,3.92,0,0,27.44,0,0,1.96,3.92,1.96
