stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,22.98,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,0.81,0,0.81,0,0,0,0,0,50.76,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,0,63.69,0,0,0,0,0,11.48,0,0,0,0,0,2.3,0,0,0
 60-70,0,0,0,0,2.94,0,0,0,0,0,92.26,0,0,0.98,0,0,5.89,0,0,0,0,0,3.93,0,0,0
 72-82,0,0.98,0,0,1.96,0,0,0.98,0,0,110.93,0,0.98,4.91,0.98,0,7.85,0,0,0.98,0,0,1.96,0.98,0,0
 84-94,0,0,0,0,2.12,0,0,0,1.06,0,142.31,0,0,1.06,0,0,5.31,0,0,0,0,2.12,1.06,0,2.12,0
 96-106,0,1.09,1.09,1.09,4.37,0,0,1.09,1.09,0,149.72,1.09,0,2.19,0,1.09,7.65,0,1.09,0,0,1.09,0,0,1.09,1.09
108-118,0,0,0.77,0,3.06,0.77,0,1.53,0,0,114.89,0,0.77,1.53,0,0.77,7.66,0,0,0,0,0.77,0,0,1.53,0
120,0,0,5.88,0,1.96,0,1.96,1.96,0,1.96,209.7,0,1.96,0,0,0,15.68,0,0,0,0,1.96,0,0,1.96,0
