stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,6.29,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,1,0,0,0,0
 24-34,0,0,0,0,0.82,0,0.82,0.82,0,0,0,0,0.82,0,0.82,9.03,0,0,0,1.64,0,0,5.75,0,0,0,0
 36-46,0,0,1.61,0,2.42,0,0,0,0,0.81,0,0,1.61,0,0,4.83,0.81,0.81,0,0.81,0,0,1.61,0,0,0,0
 48-58,0,0,0.57,0,0.57,0,0,2.87,0,0.57,0,0,1.15,0,0,6.31,0,0,0,0.57,0,0,1.15,0,0,0,0
 60-70,0,0,0,0,0.98,2.94,0,3.93,0,0,0,0,1.96,0,0,5.89,0,0,0,0.98,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,2.94,0.98,0,11.78,0,0,0,0,1.96,0,0,4.91,0,0,0,0.98,0,0,0.98,0,0.98,0,0
 84-94,0,0,0,0,1.06,2.12,1.06,20.18,0,0,0,0,2.12,1.06,0,1.06,0,0,0,3.19,0,0,0,0,1.06,2.12,0
 96-106,0,0,1.09,1.09,0,1.09,0,15.3,1.09,0,0,0,1.09,0,0,4.37,0,0,0,5.46,0,0,0,0,0,0,0
108-118,0,0,1.53,0,0,0,0,16.85,0,0,0.77,0.77,0,0,0,0,0,0.77,0,2.3,0,0,0,0,0,0.77,0
120,0,0,1.96,0,0,0,0,23.52,0,0,0,0,1.96,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,1.96
