stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,6.29,0,0,3.15,0,0,0,3.15,0,3.15
 14-21,0,1,0,2,1,0,0,19,0,0,0,0,0,0,0,0,13,0,2,4,0,0,0,1,34,1,52
 24-34,0,0,0,0.82,0,0,0,22.16,0,0,0.82,0,0,0,0,0.82,17.24,0,18.06,4.1,0,0,0,0,18.06,0.82,41.04
 36-46,0,0,0,0,1.61,0.81,0,13.7,0,0,0.81,0,0,0.81,0,0,38.67,0,15.31,3.22,0,0,0,0,9.67,0,29
 48-58,0,0.57,0,0,1.15,0,0.57,10.33,0,0,2.87,0.57,0,2.3,0,0,23.53,0,6.89,4.59,0,0.57,0,0,2.3,0,23.53
 60-70,0,0.98,0,0,0.98,0,0,8.83,0,0,6.87,0,0.98,2.94,0.98,0,16.69,0,21.59,9.82,0,0,0,0,3.93,0,8.83
 72-82,0,4.91,0,0,4.91,0,0,6.87,3.93,0,13.74,0,0,4.91,0,0,13.74,0,32.39,24.54,0,0,0,0,0,0,12.76
 84-94,0,3.19,1.06,0,6.37,0,0,6.37,1.06,0,7.43,0,0,1.06,0,0,11.68,0,19.12,28.68,0,1.06,0,0,8.5,0,4.25
 96-106,0,7.65,0,1.09,4.37,0,1.09,7.65,1.09,1.09,26.23,1.09,1.09,4.37,0,0,5.46,0,37.16,39.34,0,0,0,0,2.19,0,3.28
108-118,0,1.53,0.77,0,3.06,0,0,5.36,3.06,0,16.85,0,0,3.83,0,0,6.89,0,22.98,30.64,0,0,0,0,1.53,0,0.77
120,0,0,0,0,0,0,0,1.96,0,0,13.72,0,0,0,0,0,13.72,0,7.84,15.68,0,0,0,0,3.92,0,1.96
