stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
 24-34,0,0,0,0,0,0,0,3.28,0,0,0,0,0,8.21,0,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,0.81,0,16.11,0,0.81,0,0,0,21.75,0,0,0,0,0,0,5.64,0,0
 48-58,0,0,0,0,0,1.72,0,39.02,0,0,0,1.15,0,35,0,0,0.57,0,0,0,8.61,0.57,0
 60-70,0,0,0,0.98,0,6.87,0.98,104.04,0.98,0,0,1.96,0.98,82.45,0,0,0,0,0,0,10.8,0,0
 72-82,0,0,0.98,0.98,0,15.71,0,115.84,0,0,0,0.98,1.96,80.5,0,0,0,0,0.98,0,3.93,0,0
 84-94,0,0,0,0,0,20.18,0,50.98,0,0,1.06,3.19,0,40.36,0,0,0,0,0,0,2.12,1.06,1.06
 96-106,0,0,0,1.09,1.09,7.65,0,54.64,0,0,0,0,0,32.79,0,0,0,0,0,0,2.19,0,0
108-118,0,0,0,0,0,9.19,0,45.19,0,0,0,1.53,0,42.13,0,0.77,0,0,0,0,0,0,0
120,0,0,0,1.96,0,15.68,0,137.18,0,0,0,3.92,1.96,82.31,1.96,0,0,0,0,0,0,0,0
