stage,blastomeres,endoderm,epidermis,eye,glial,liver,mesenchyme,muscle,neural,periderm,pronephros,spinal_cord,vascular_smooth_muscle
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,15.77,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,6.29,0,3.15,0,0
 36-46,0,0,0.81,0,0,0,0,1.61,0.81,0.81,0,0,0
 48-58,0,0,0,0,0,0,0.57,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,1.96,0,0,0,0
 72-82,0,0,0,0.98,0.98,0.98,0,0,0,0,0,1.96,0
 84-94,0,0,1.06,0,0,1.06,1.06,0,0,0,0,0,0
 96-106,0,0,0,2.19,0,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0.77,0,0,0,0,0.77,0,0.77,0,0.77
