stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,12.26,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,15.77,0,5.26,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4,0,0,1,0,0,1,0,1,1,3,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0.82,0,0,1.64,15.6,0,0,10.67,0,0,0.82,0,0,0.82,0.82,0,0,0.82,0,0
 36-46,0,0,0,0,2.42,0,0,1.61,0,0.81,0,1.61,0,0,0,0,1.61,0,0.81,0,0,1.61,15.31,0,0.81,11.28,0,0,0.81,0,0,0,4.03,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,5.74,0.57,0,0.57,1.72,0,0,0.57,0,4.02,0,2.87,0,0,1.15,10.33,0.57,0,13.77,0,0,0.57,0,0,0,2.3,0,0,0.57,0,0.57
 60-70,0,0,0,0,0.98,0,0,8.83,0,0,0,0.98,0,0,0,1.96,18.65,0,2.94,0,0,0.98,20.61,1.96,0.98,32.39,0,0,0.98,0,0,0,0.98,0,0,1.96,0,0
 72-82,0,0,0,0,1.96,0,0,21.6,0,0.98,1.96,1.96,0,0.98,0,0,28.47,0,8.83,0,0,0.98,48.1,0,0,62.83,0.98,0.98,1.96,0,0,0,4.91,0,0.98,0.98,0.98,0
 84-94,0,0,0,0,3.19,1.06,0,12.74,0,1.06,2.12,4.25,1.06,0,0,1.06,57.35,0,5.31,0,0,1.06,15.93,1.06,0,82.84,0,0,4.25,0,0,0,0,0,1.06,0,2.12,1.06
 96-106,0,0,1.09,0,4.37,2.19,1.09,12.02,0,1.09,0,2.19,2.19,2.19,1.09,0,92.89,1.09,7.65,3.28,1.09,0,24.04,0,0,99.45,0,0,6.56,0,0,0,1.09,0,0,0,2.19,0
108-118,0,0,0,0.77,3.83,0.77,1.53,9.96,0,0.77,0,3.83,0.77,0,0.77,0,64.34,1.53,5.36,0,0,0,22.21,0.77,0,78.89,0,0,2.3,0,0,0,0.77,0.77,0.77,0.77,1.53,0
120,0,0,0,0,7.84,0,1.96,9.8,0,1.96,1.96,7.84,0,0,1.96,0,48.99,0,1.96,0,0,0,35.28,0,0,103.87,0,0,5.88,0,0,0,0,0,0,1.96,0,0
